learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.112663,1.263770502474573E-10,10000.0,72.37,42.22619229833115,43.26488706365503,35.92300556586272,10000.0,4336.0
20000.0,0.169106,1.8969064785374537E-10,20000.0,72.99,43.15154550921362,44.25180598555212,35.82798764552151,20000.0,4336.0
30000.0,0.198487,2.2264808830287723E-10,30000.0,73.10666666666667,43.46297121735462,44.75486168173103,36.367221389699495,30000.0,4336.0
40000.0,0.220152,2.469502886136373E-10,40000.0,73.5825,44.40873007996372,45.72397144177923,37.27294313190074,40000.0,4336.0
50000.0,0.242097,2.715665722886721E-10,50000.0,73.584,44.40772984488145,45.61027837259102,37.16460513796386,50000.0,4336.0
60000.0,0.263859,2.9597758005062735E-10,60000.0,73.64833333333334,44.523968315807124,45.70771238239132,37.26540491211365,60000.0,4336.0
70000.0,0.286027,3.20844008690781E-10,70000.0,73.6242857142857,44.43203495399175,45.68747426016355,37.10869639268316,70000.0,4336.0
80000.0,0.307838,3.453099810414843E-10,80000.0,73.63250000000001,44.51109701609208,45.70678472150726,37.317247117556164,80000.0,4336.0
90000.0,0.3282,3.6815057198206575E-10,90000.0,73.62555555555555,44.44592802681833,45.64460728188688,37.255161111257955,90000.0,4336.0
100000.0,0.347236,3.8950375384754594E-10,100000.0,73.68900000000001,44.570086704830906,45.77287716405606,37.37861766945926,100000.0,4336.0
110000.0,0.367571,4.123140581780009E-10,110000.0,73.73454545454545,44.68412005756967,45.87283150361572,37.49161636485579,110000.0,4336.0
120000.0,0.385978,4.3296167420016385E-10,120000.0,73.72416666666666,44.63513896658255,45.81278248466206,37.402473645550025,120000.0,4336.0
130000.0,0.4049,4.5418697926733216E-10,130000.0,73.64153846153846,44.504328321163165,45.6922784328642,37.35648994515539,130000.0,4336.0
140000.0,0.424101,4.757252459724743E-10,140000.0,73.70357142857142,44.59047127039962,45.85870172652136,37.37028342009457,140000.0,4336.0
150000.0,0.44255,4.964199744992784E-10,150000.0,73.70466666666667,44.597265556368555,45.93368333036337,37.40795988320425,150000.0,4336.0
160000.0,0.463543,5.199683747357791E-10,160000.0,73.67937500000001,44.549469256863894,45.953542094455855,37.35142291843322,160000.0,4336.0
170000.0,0.488522,5.479879760079912E-10,170000.0,73.68823529411765,44.57306493405356,45.97760842522251,37.38801791713325,170000.0,4336.0
180000.0,0.512254,5.746087845828796E-10,180000.0,73.63055555555556,44.45706794644364,45.894650449690516,37.2852914750806,180000.0,4336.0
190000.0,0.536407,6.017018399304812E-10,190000.0,73.60894736842106,44.41835645793253,45.84521340936582,37.261648566137836,190000.0,4336.0
200000.0,0.557119,6.249350350764061E-10,200000.0,73.611,44.440287098235956,45.88203929289202,37.3115891247283,200000.0,4336.0
210000.0,0.575771,6.458574740423094E-10,210000.0,73.63190476190476,44.47508160226707,45.936947755875146,37.3161868752618,210000.0,4336.0
220000.0,0.593593,6.658488801783984E-10,220000.0,73.65636363636364,44.53401737529544,45.95622861085985,37.38886188084047,220000.0,4336.0
230000.0,0.612753,6.873411561052003E-10,230000.0,73.66304347826087,44.56502837558723,45.993295411993365,37.45870157759973,230000.0,4336.0
240000.0,0.633954,7.11122875412305E-10,240000.0,73.64125,44.542178348685646,45.94970993070805,37.485424036998246,240000.0,4336.0
250000.0,0.652664,7.321103745036652E-10,250000.0,73.6032,44.45112950458112,45.879805799763815,37.366412938250996,250000.0,4336.0
260000.0,0.672375,7.542207216223079E-10,260000.0,73.61692307692309,44.487183737014284,45.93376105427433,37.40212808672958,260000.0,4336.0
270000.0,0.693191,7.775705763035348E-10,270000.0,73.62592592592593,44.51155040887885,45.94820257469031,37.43850154624685,270000.0,4336.0
280000.0,0.711154,7.977201458480621E-10,280000.0,73.59750000000001,44.44535695556232,45.88859610598741,37.348407162893984,280000.0,4336.0
290000.0,0.730189,8.190722059872413E-10,290000.0,73.6348275862069,44.523850395479755,45.97644299048252,37.433308238682855,290000.0,4336.0
300000.0,0.75113,8.425622764560909E-10,300000.0,73.63033333333333,44.51294024179198,45.99072866671673,37.416736547315786,300000.0,4336.0
310000.0,0.76914,8.627645671367643E-10,310000.0,73.62387096774194,44.49946405162451,45.96841340117623,37.39299551308555,310000.0,4336.0
320000.0,0.787266,8.830969780683515E-10,320000.0,73.6503125,44.55338085701865,46.028586241990936,37.452525072695984,320000.0,4336.0
330000.0,0.813918,9.129932274421053E-10,330000.0,73.6130303030303,44.479999785532584,45.95787200238319,37.392961138871904,330000.0,4336.0
340000.0,0.83873,9.408255004220536E-10,340000.0,73.61764705882354,44.486861995535286,45.95636744850191,37.40142643795274,340000.0,4336.0
350000.0,0.861704,9.665960404607982E-10,350000.0,73.63314285714286,44.51656584111884,45.99042524551402,37.43118270821467,350000.0,4336.0
360000.0,0.885083,9.928208796514402E-10,360000.0,73.61444444444444,44.48444559362292,45.949390858033794,37.413603389316805,360000.0,4336.0
370000.0,0.908295,1.0188583905498185E-9,370000.0,73.61837837837838,44.48607840150547,45.946784062906666,37.401319797605396,370000.0,4336.0
380000.0,0.932185,1.0456564318802619E-9,380000.0,73.61684210526316,44.48402048475107,45.96441680096153,37.41158549908542,380000.0,4336.0
390000.0,0.954261,1.0704196617007254E-9,390000.0,73.61948717948718,44.47790255337819,45.97450061963073,37.39564317877569,390000.0,4336.0
400000.0,0.972109,1.0904402327206398E-9,400000.0,73.62349999999999,44.48299872292814,45.97581082880169,37.381446970146584,400000.0,4336.0
410000.0,0.990857,1.1114703574114374E-9,410000.0,73.64804878048781,44.524162592621124,46.009544511905666,37.39395976265529,410000.0,4336.0
420000.0,1.009162,1.1320035573509003E-9,420000.0,73.66214285714285,44.542633151298396,46.03503705185308,37.395157730313414,420000.0,4336.0
430000.0,1.02968,1.1550191375944348E-9,430000.0,73.67627906976743,44.571294336603565,46.05717771413048,37.42495439217202,430000.0,4336.0
440000.0,1.051822,1.179856401350763E-9,440000.0,73.69250000000001,44.60115804432956,46.093950105015125,37.45819397993313,440000.0,4336.0
450000.0,1.078377,1.2096438432733217E-9,450000.0,73.7011111111111,44.61773553893707,46.11128819270524,37.48184070534662,450000.0,4336.0
460000.0,1.099948,1.2338406013117895E-9,460000.0,73.70086956521739,44.61795314567436,46.10041568833621,37.480426457744386,460000.0,4336.0
470000.0,1.121299,1.2577905795640414E-9,470000.0,73.70744680851064,44.63045032434132,46.105838843047295,37.504109076380765,470000.0,4336.0
480000.0,1.14134,1.2802710963620079E-9,480000.0,73.70895833333333,44.64038973460418,46.11479273770688,37.53767874201259,480000.0,4336.0
490000.0,1.162023,1.3034717614452043E-9,490000.0,73.72142857142858,44.66855426256674,46.12906599728062,37.564852258070765,490000.0,4336.0
500000.0,1.181542,1.3253667371140586E-9,500000.0,73.7158,44.64693803780887,46.11663024448644,37.525967265795465,500000.0,4336.0
510000.0,1.203439,1.3499291779266463E-9,510000.0,73.70941176470588,44.63547808382388,46.1005053002255,37.51566978120558,510000.0,4336.0
520000.0,1.224952,1.3740608758396572E-9,520000.0,73.71038461538461,44.63122971761023,46.10149978709647,37.488968453205665,520000.0,4336.0
530000.0,1.245182,1.3967533989085091E-9,530000.0,73.71150943396226,44.63950629110751,46.09721373248428,37.50577491511436,530000.0,4336.0
540000.0,1.264906,1.4188783284690644E-9,540000.0,73.71425925925926,44.64451531834083,46.10387144788202,37.50720936887755,540000.0,4336.0
550000.0,1.284032,1.440332465701633E-9,550000.0,73.72072727272727,44.66677923521984,46.12152999109083,37.55033615042947,550000.0,4336.0
560000.0,1.302906,1.4615039279063543E-9,560000.0,73.72803571428571,44.677516972942506,46.139174238707824,37.56265039277179,560000.0,4336.0
570000.0,1.322207,1.4831543672415946E-9,570000.0,73.72543859649123,44.67491138618555,46.13602931920603,37.56930259702365,570000.0,4336.0
580000.0,1.341469,1.5047610592510966E-9,580000.0,73.71637931034482,44.66086226239328,46.114039087602464,37.568596936686056,580000.0,4336.0
590000.0,1.359493,1.5249790540999837E-9,590000.0,73.7228813559322,44.67096052995206,46.13230393979298,37.576501852150095,590000.0,4336.0
600000.0,1.379265,1.5471578265229861E-9,600000.0,73.7255,44.67075122780281,46.12845353426623,37.56727536266322,600000.0,4336.0
610000.0,1.397535,1.5676517660419146E-9,610000.0,73.71622950819672,44.65802356990333,46.11193643580728,37.570428979164305,610000.0,4336.0
620000.0,1.41514,1.5873997575706906E-9,620000.0,73.72048387096774,44.667326199279046,46.12093054016965,37.584085441534775,620000.0,4336.0
630000.0,1.43529,1.610002542535464E-9,630000.0,73.7147619047619,44.65226805543798,46.113320273603506,37.56310727199375,630000.0,4336.0
640000.0,1.454408,1.6314477059576247E-9,640000.0,73.72046875,44.657412476952715,46.125041642108506,37.56139393466906,640000.0,4336.0
650000.0,1.472204,1.6514099472098881E-9,650000.0,73.72507692307693,44.67192537633809,46.12839325481192,37.59381737128659,650000.0,4336.0
660000.0,1.489888,1.6712465551164416E-9,660000.0,73.72727272727273,44.67131584413313,46.13033104682374,37.587508863365606,660000.0,4336.0
670000.0,1.50753,1.691036050518354E-9,670000.0,73.72611940298508,44.66376141462793,46.13899495765409,37.561849362441706,670000.0,4336.0
680000.0,1.528028,1.7140291962358688E-9,680000.0,73.72852941176471,44.66234658654242,46.14181014600675,37.55230308347869,680000.0,4336.0
690000.0,1.547153,1.7354822117421363E-9,690000.0,73.7172463768116,44.645551583327595,46.12077673595018,37.552813809584485,690000.0,4336.0
700000.0,1.567891,1.7587445717718866E-9,700000.0,73.72014285714286,44.64429694754355,46.110603344230796,37.53620481825436,700000.0,4336.0
710000.0,1.587933,1.781226210296154E-9,710000.0,73.71901408450704,44.64605041239238,46.1137936212732,37.541631659810335,710000.0,4336.0
720000.0,1.610491,1.8065301121936903E-9,720000.0,73.72583333333334,44.65704466883512,46.12253965179897,37.5484049875707,720000.0,4336.0
730000.0,1.628642,1.826890566282802E-9,730000.0,73.7158904109589,44.63750034316944,46.107047760288516,37.531661642042764,730000.0,4336.0
740000.0,1.646803,1.8472622376349237E-9,740000.0,73.71837837837838,44.63800698005133,46.10974565586649,37.52320986861126,740000.0,4336.0
750000.0,1.665751,1.8685167075859177E-9,750000.0,73.71413333333334,44.628646019316875,46.09324798407494,37.51913465408665,750000.0,4336.0
760000.0,1.68559,1.890770635671086E-9,760000.0,73.7175,44.63075279918042,46.09270844015999,37.513451624205416,760000.0,4336.0
770000.0,1.70419,1.9116347448693384E-9,770000.0,73.71883116883117,44.63442133126082,46.09263866763987,37.52219055940278,770000.0,4336.0
780000.0,1.72286,1.9325773749086594E-9,780000.0,73.71987179487179,44.634953265512856,46.094312928318594,37.52190703189055,780000.0,4336.0
790000.0,1.742036,1.954087598456277E-9,790000.0,73.71810126582278,44.63217477063138,46.09723044331599,37.52610262921932,790000.0,4336.0
800000.0,1.762624,1.97718169954088E-9,800000.0,73.72,44.63868461757962,46.09866528563297,37.54381795496405,800000.0,4336.0
810000.0,1.781801,1.998693044814799E-9,810000.0,73.72123456790123,44.64133611292957,46.1054859692166,37.54661455811894,810000.0,4336.0
820000.0,1.801179,2.0204298570752147E-9,820000.0,73.72353658536585,44.64642138005696,46.094707716016956,37.55502809729577,820000.0,4336.0
830000.0,1.821896,2.0436686608526446E-9,830000.0,73.71927710843373,44.640596190105505,46.09055837162,37.549029151230236,830000.0,4336.0
840000.0,1.84069,2.0647503849532873E-9,840000.0,73.70845238095238,44.62211245731827,46.07401945104398,37.53510749327548,840000.0,4336.0
850000.0,1.859121,2.0854249224066737E-9,850000.0,73.70388235294118,44.61181593816738,46.06965774330145,37.52477157048263,850000.0,4336.0
860000.0,1.877674,2.10623631046878E-9,860000.0,73.70197674418606,44.60455802542444,46.071030016310104,37.51488477594787,860000.0,4336.0
870000.0,1.896917,2.1278216896785635E-9,870000.0,73.70011494252874,44.60274498347906,46.07618324892358,37.521435202883524,870000.0,4336.0
880000.0,1.917433,2.150835026469496E-9,880000.0,73.69670454545455,44.59306777068939,46.073308187471035,37.50533233256477,880000.0,4336.0
890000.0,1.939818,2.1759448697169626E-9,890000.0,73.69808988764045,44.59817385100774,46.0681224397639,37.51798359522431,890000.0,4336.0
900000.0,1.960118,2.1987159136268832E-9,900000.0,73.69722222222222,44.595261251750706,46.071273171298465,37.51484756499935,900000.0,4336.0
910000.0,1.979817,2.220812800029914E-9,910000.0,73.69571428571429,44.59459988651543,46.07360981884785,37.52081604101086,910000.0,4336.0
920000.0,2.001504,2.2451396783192957E-9,920000.0,73.68945652173913,44.57845620228969,46.05815878788689,37.49722418752614,920000.0,4336.0
930000.0,2.021159,2.2671872087650835E-9,930000.0,73.7005376344086,44.5986919945903,46.0791446208113,37.511816254055844,930000.0,4336.0
940000.0,2.039843,2.2881455429726185E-9,940000.0,73.70563829787234,44.60582631155276,46.07967399153129,37.5122931651266,940000.0,4336.0
950000.0,2.059052,2.3096927834881686E-9,950000.0,73.70347368421054,44.59920555837432,46.07342839997065,37.502783163424866,950000.0,4336.0
960000.0,2.077836,2.3307632903258015E-9,960000.0,73.70572916666667,44.60593449728045,46.08503794391605,37.515625734873666,960000.0,4336.0
970000.0,2.103245,2.3592652339074357E-9,970000.0,73.7157731958763,44.62596166136501,46.10870966719158,37.53824896308255,970000.0,4336.0
980000.0,2.128388,2.387468798293009E-9,980000.0,73.71510204081633,44.62276507828095,46.10414609242923,37.53770647629948,980000.0,4336.0
990000.0,2.150446,2.4122118370400548E-9,990000.0,73.70848484848484,44.61383774130069,46.08745362919511,37.53875541135928,990000.0,4336.0
1000000.0,2.175622,2.44045241839356E-9,1000000.0,73.70750000000001,44.61095782431595,46.080934480927105,37.535042621330625,1000000.0,4336.0
