learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.12665,1.4206663601928288E-10,10000.0,72.55,42.514254370717694,43.30855018587361,35.86448598130843,10000.0,4336.0
20000.0,0.181713,2.0383225133021673E-10,20000.0,72.585,42.33133493125565,43.08107546973944,35.14312751360302,20000.0,4336.0
30000.0,0.209492,2.3499268624517653E-10,30000.0,72.90666666666667,42.92255399548862,44.16815496634152,35.57898074027106,30000.0,4336.0
40000.0,0.234618,2.631771812836329E-10,40000.0,73.155,43.4674243681414,44.73210149776108,36.265432098765444,40000.0,4336.0
50000.0,0.259172,2.9072004887792797E-10,50000.0,73.182,43.5510519150548,44.86204202475432,36.456260070135535,50000.0,4336.0
60000.0,0.282721,3.1713558153973685E-10,60000.0,73.42333333333333,44.0506213342356,45.48748803500615,36.994744952388466,60000.0,4336.0
70000.0,0.310089,3.478349869449933E-10,70000.0,73.49714285714286,44.200298023104274,45.652683384110624,37.15021342909412,70000.0,4336.0
80000.0,0.332547,3.7302671621243156E-10,80000.0,73.57249999999999,44.36827645250103,45.685292228644826,37.3700269573718,80000.0,4336.0
90000.0,0.352421,3.953199047181341E-10,90000.0,73.61222222222223,44.418609964462455,45.83048218603166,37.38564159350366,90000.0,4336.0
100000.0,0.373353,4.187998796502749E-10,100000.0,73.541,44.29462280303564,45.700623871285515,37.329164594140074,100000.0,4336.0
110000.0,0.397884,4.463169475396474E-10,110000.0,73.51727272727273,44.246927162903425,45.58106517718705,37.30549876250943,110000.0,4336.0
120000.0,0.41656,4.672663079367743E-10,120000.0,73.52666666666666,44.27322912941739,45.65113255320604,37.34740163691943,120000.0,4336.0
130000.0,0.43524,4.882201552391052E-10,130000.0,73.51461538461538,44.26838427068017,45.61436762545611,37.38565894997182,130000.0,4336.0
140000.0,0.454483,5.098055344488885E-10,140000.0,73.45857142857143,44.16590281401807,45.53928681352504,37.28078318845472,140000.0,4336.0
150000.0,0.474873,5.326775337258975E-10,150000.0,73.45733333333332,44.183451931978745,45.52519599928852,37.32151571921097,150000.0,4336.0
160000.0,0.493447,5.535124780403243E-10,160000.0,73.485,44.22378228291928,45.529948000256795,37.33530280649926,160000.0,4336.0
170000.0,0.513678,5.762061228354772E-10,170000.0,73.49235294117648,44.268076221643696,45.551098330151525,37.40380608417838,170000.0,4336.0
180000.0,0.533879,5.988661158416006E-10,180000.0,73.48611111111111,44.25655927567606,45.500119905445985,37.39095071300195,180000.0,4336.0
190000.0,0.552999,6.203135227163633E-10,190000.0,73.49684210526316,44.28401989115393,45.506882520993855,37.44363143968099,190000.0,4336.0
200000.0,0.571445,6.410048860642645E-10,200000.0,73.49799999999999,44.28501218929231,45.49829309422942,37.43256802219205,200000.0,4336.0
210000.0,0.590023,6.618443172838954E-10,210000.0,73.4904761904762,44.285711597863376,45.501179649335775,37.447329685270304,210000.0,4336.0
220000.0,0.608319,6.823674216866494E-10,220000.0,73.48545454545454,44.27302591243856,45.45301527038778,37.4321570309986,220000.0,4336.0
230000.0,0.630682,7.074525869554944E-10,230000.0,73.49869565217392,44.29248301520934,45.47885900337219,37.43918710869344,230000.0,4336.0
240000.0,0.654011,7.336213398310873E-10,240000.0,73.54291666666667,44.38612344387708,45.55548886621452,37.52201592033927,240000.0,4336.0
250000.0,0.679359,7.620548581083615E-10,250000.0,73.5608,44.40702239587459,45.596115066463646,37.501891074130114,250000.0,4336.0
260000.0,0.69981,7.849952826897303E-10,260000.0,73.53769230769231,44.34509342347335,45.52494061757719,37.40207986461773,260000.0,4336.0
270000.0,0.717981,8.053781713048617E-10,270000.0,73.50814814814814,44.277085291643864,45.48378491673334,37.321018594787844,270000.0,4336.0
280000.0,0.735622,8.251665449804729E-10,280000.0,73.52464285714285,44.29857126551801,45.51995296538546,37.32424731773717,280000.0,4336.0
290000.0,0.755962,8.479824579424328E-10,290000.0,73.55689655172414,44.35783038182895,45.61694643604309,37.379041148466015,290000.0,4336.0
300000.0,0.776735,8.712840783927175E-10,300000.0,73.56133333333334,44.36685598938933,45.65834007043122,37.40154373115717,300000.0,4336.0
310000.0,0.795578,8.924207670821083E-10,310000.0,73.5816129032258,44.4080667419043,45.71900103396165,37.44261543749761,310000.0,4336.0
320000.0,0.81352,9.12546780374315E-10,320000.0,73.5925,44.421685452903,45.7417300184919,37.44105301342178,320000.0,4336.0
330000.0,0.831719,9.329610773258739E-10,330000.0,73.59636363636363,44.42815110994185,45.74324997509216,37.44292237442923,330000.0,4336.0
340000.0,0.850466,9.539900802903705E-10,340000.0,73.58235294117647,44.39735500085797,45.72120933774073,37.40155834018648,340000.0,4336.0
350000.0,0.870161,9.760824797881974E-10,350000.0,73.58942857142857,44.413372277711474,45.74338205083054,37.41231752566151,350000.0,4336.0
360000.0,0.889321,9.975747557149993E-10,360000.0,73.59527777777778,44.431827763395766,45.75951064473241,37.44233338378821,360000.0,4336.0
370000.0,0.907974,1.0184983164072036E-9,370000.0,73.59972972972973,44.43604837348624,45.768028559214294,37.42729392471879,370000.0,4336.0
380000.0,0.927206,1.0400713566276762E-9,380000.0,73.61263157894737,44.46057004176894,45.78514541532175,37.45977097522642,380000.0,4336.0
390000.0,0.947247,1.0625518734256426E-9,390000.0,73.62333333333333,44.47494464409305,45.82106610347134,37.47135519557486,390000.0,4336.0
