learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.095734,1.0738734569814469E-10,10000.0,73.05,43.84580905124713,44.81981981981982,36.81125439624854,10000.0,4336.0
20000.0,0.147419,1.6536376956436368E-10,20000.0,73.44000000000001,44.51120382201648,45.845651952288726,37.5646450399624,20000.0,4336.0
30000.0,0.177386,1.989785416258706E-10,30000.0,73.57000000000001,44.67984484067446,46.16742480820151,37.694483734087704,30000.0,4336.0
40000.0,0.199052,2.2328186366293165E-10,40000.0,73.7425,44.956192822937396,46.25972165370447,37.88514992016086,40000.0,4336.0
50000.0,0.221206,2.4813258813487156E-10,50000.0,73.618,44.6338166678438,45.84530749651038,37.52190593473214,50000.0,4336.0
60000.0,0.242483,2.719995586408509E-10,60000.0,73.49166666666666,44.26334597272204,45.48227874134503,37.02486537852392,60000.0,4336.0
70000.0,0.26468,2.96898517343733E-10,70000.0,73.43428571428572,44.17011367563934,45.36854784218104,37.054462986155784,70000.0,4336.0
80000.0,0.284785,3.1945082462496223E-10,80000.0,73.5175,44.34991687948503,45.5190680690205,37.209922646038954,80000.0,4336.0
90000.0,0.306079,3.4333686447805826E-10,90000.0,73.50444444444445,44.33273441286097,45.51478316501393,37.28037874802733,90000.0,4336.0
100000.0,0.325944,3.6561995744705195E-10,100000.0,73.485,44.281881138507075,45.50293912114112,37.25299950304092,100000.0,4336.0
110000.0,0.355008,3.9822181065877273E-10,110000.0,73.50727272727273,44.31217210523666,45.55339660712953,37.26157158234661,110000.0,4336.0
120000.0,0.381978,4.284747689962387E-10,120000.0,73.5325,44.35658213884128,45.60354867438515,37.28947420380279,120000.0,4336.0
130000.0,0.40537,4.5471419062879347E-10,130000.0,73.5023076923077,44.29213260349144,45.50473809938143,37.20697072441576,130000.0,4336.0
