learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.447416,2.086498821775118E-8,10000.0,80.82000000000001,60.184233654029484,60.14959484728859,54.081876945175964,10000.0,180264.0,55.0,43.0,43.0,3.0,0.0,0.0,1.0
20000.0,0.569648,2.711491559942563E-8,20000.0,84.33500000000001,67.6137349188855,67.75090066906846,62.85273891391986,20000.0,197648.0,61.0,46.0,46.0,3.0,0.0,0.0,1.0
30000.0,0.641637,3.104330450917283E-8,30000.0,86.0,71.09244022298631,71.25846848696365,66.77740863787375,30000.0,210936.0,67.0,49.0,49.0,4.0,0.0,0.0,1.0
40000.0,0.743658,3.815418672437469E-8,40000.0,86.8225,72.77807871718201,72.97338870942932,68.59321932908301,40000.0,269424.0,91.0,64.0,64.0,4.0,0.0,0.0,1.0
50000.0,0.841404,4.531949973975618E-8,50000.0,87.316,73.777630909724,73.98794142980191,69.662760105238,50000.0,283360.0,97.0,67.0,67.0,4.0,0.0,0.0,1.0
60000.0,0.959015,5.510037941651211E-8,60000.0,87.70666666666666,74.58383090584108,74.76651500119735,70.5419545509006,60000.0,321464.0,114.0,77.0,77.0,5.0,0.0,0.0,1.0
70000.0,1.047276,6.269761900314026E-8,70000.0,88.07857142857142,75.37486130100878,75.50846711472427,71.46423197920942,70000.0,332728.0,123.0,83.0,83.0,5.0,0.0,0.0,1.0
80000.0,1.125864,7.004759962567025E-8,80000.0,88.3725,76.01050587683902,76.13709242964521,72.24940334128877,80000.0,361520.0,127.0,85.0,85.0,5.0,0.0,0.0,1.0
90000.0,1.231729,8.144840618802442E-8,90000.0,88.61,76.50722371486462,76.62417622511572,72.8385575368962,90000.0,416280.0,153.0,98.0,98.0,5.0,0.0,0.0,1.0
100000.0,1.335852,9.386794633128578E-8,100000.0,88.832,76.96787742201411,77.04466506341082,73.37592676472691,100000.0,461064.0,176.0,111.0,111.0,5.0,0.0,0.0,1.0
110000.0,1.430952,1.0584185450234348E-7,110000.0,89.06636363636363,77.4542808203928,77.53264463581849,73.94328054249625,110000.0,486696.0,184.0,115.0,115.0,5.0,0.0,0.0,1.0
120000.0,1.516669,1.1727318106633094E-7,120000.0,89.31666666666666,77.97849062814075,78.06935012060147,74.56551067375605,120000.0,515504.0,205.0,130.0,130.0,6.0,0.0,0.0,1.0
130000.0,1.641723,1.356884650203089E-7,130000.0,89.54846153846154,78.46581922525702,78.53351028533511,75.14770170657205,130000.0,569224.0,218.0,138.0,138.0,6.0,0.0,0.0,1.0
140000.0,1.743764,1.5184599044422308E-7,140000.0,89.77071428571428,78.9259280437126,78.98852665864608,75.67517070353635,140000.0,612072.0,229.0,145.0,145.0,6.0,0.0,0.0,1.0
150000.0,1.828657,1.6598118337699108E-7,150000.0,89.92733333333334,79.2477477129672,79.31718936085748,76.03761914579799,150000.0,643624.0,245.0,153.0,153.0,6.0,0.0,0.0,1.0
160000.0,1.89373,1.7716167014299166E-7,160000.0,90.106875,79.61780544002735,79.67305321553317,76.4537002603198,160000.0,664144.0,255.0,158.0,158.0,6.0,0.0,0.0,1.0
170000.0,1.962622,1.8939739598789147E-7,170000.0,90.2694117647059,79.9511971755617,79.99443685222587,76.82057030757376,170000.0,686536.0,268.0,166.0,166.0,6.0,0.0,0.0,1.0
180000.0,2.038672,2.0385635125347307E-7,180000.0,90.41666666666667,80.25767525086955,80.28526366316945,77.16955411146552,180000.0,734920.0,285.0,176.0,176.0,6.0,0.0,0.0,1.0
190000.0,2.100464,2.1618408899547322E-7,190000.0,90.53052631578947,80.49740108141347,80.5093650810846,77.45730645383584,190000.0,771176.0,296.0,183.0,183.0,6.0,0.0,0.0,1.0
200000.0,2.154523,2.270558834986554E-7,200000.0,90.646,80.74428349660302,80.75308641975309,77.76404307414364,200000.0,777384.0,298.0,184.0,184.0,6.0,0.0,0.0,1.0
210000.0,2.223101,2.411500427375237E-7,210000.0,90.78857142857143,81.03805770122906,81.04644326866548,78.10278469549468,210000.0,794432.0,306.0,188.0,188.0,6.0,0.0,0.0,1.0
220000.0,2.28161,2.5366705295319357E-7,220000.0,90.90454545454546,81.2799024742368,81.28367255312781,78.37972166998013,220000.0,826952.0,321.0,197.0,197.0,6.0,0.0,0.0,1.0
230000.0,2.352662,2.6915196673944593E-7,230000.0,91.03434782608696,81.55034383328548,81.55776557497273,78.69247142945711,230000.0,842432.0,330.0,203.0,203.0,6.0,0.0,0.0,1.0
240000.0,2.430651,2.8687294565141203E-7,240000.0,91.15958333333334,81.80882520848185,81.81607816249571,78.98349743447513,240000.0,878328.0,339.0,209.0,209.0,6.0,0.0,0.0,1.0
250000.0,2.520368,3.083559847209189E-7,250000.0,91.25999999999999,82.02052451068013,82.03553428869759,79.23240694977758,250000.0,925600.0,357.0,221.0,221.0,6.0,0.0,0.0,1.0
260000.0,2.602881,3.2825659405647056E-7,260000.0,91.35538461538462,82.22325422707118,82.24167627956956,79.4803440027754,260000.0,932280.0,359.0,222.0,222.0,6.0,0.0,0.0,1.0
270000.0,2.658245,3.4169816755379243E-7,270000.0,91.45925925925926,82.4417669080314,82.46187778073545,79.73922822801715,270000.0,938480.0,361.0,223.0,223.0,6.0,0.0,0.0,1.0
280000.0,2.7155,3.5573559187973544E-7,280000.0,91.55107142857143,82.62997529227557,82.64610734956463,79.94727651855493,280000.0,947712.0,366.0,227.0,227.0,6.0,0.0,0.0,1.0
290000.0,2.801907,3.7719142589925066E-7,290000.0,91.63517241379311,82.80932695216818,82.82874758442993,80.16662714926949,290000.0,959840.0,368.0,228.0,228.0,6.0,0.0,0.0,1.0
300000.0,2.873517,3.955280234188669E-7,300000.0,91.72333333333333,82.99128915142795,83.00467491221706,80.37154150197628,300000.0,989800.0,384.0,239.0,239.0,7.0,0.0,0.0,1.0
310000.0,2.940406,4.1325641689408156E-7,310000.0,91.81870967741935,83.18961677469711,83.19640632867781,80.60371528866523,310000.0,1024512.0,397.0,247.0,247.0,7.0,0.0,0.0,1.0
320000.0,3.0095,4.3225647315589916E-7,320000.0,91.8975,83.35128337306016,83.3628500295167,80.78539191782953,320000.0,1062960.0,409.0,256.0,256.0,7.0,0.0,0.0,1.0
330000.0,3.072757,4.498805263079703E-7,330000.0,91.97181818181818,83.5041061195743,83.51553993093363,80.95891789328425,330000.0,1076960.0,411.0,257.0,257.0,7.0,0.0,0.0,1.0
340000.0,3.133466,4.668478276415004E-7,340000.0,92.04588235294118,83.65494150875519,83.67253297914088,81.12572844331228,340000.0,1080344.0,411.0,257.0,257.0,7.0,0.0,0.0,1.0
350000.0,3.196267,4.846228473943969E-7,350000.0,92.12057142857142,83.80919751289771,83.82493533610563,81.30279732606543,350000.0,1094072.0,426.0,269.0,269.0,7.0,0.0,0.0,1.0
360000.0,3.28349,5.102252436491351E-7,360000.0,92.19194444444445,83.9541416931372,83.96657445170122,81.46211171931674,360000.0,1134624.0,442.0,280.0,280.0,8.0,0.0,0.0,1.0
370000.0,3.357347,5.327323589473964E-7,370000.0,92.2627027027027,84.09871557101356,84.11444171928929,81.62280138657081,370000.0,1177960.0,449.0,285.0,285.0,8.0,0.0,0.0,1.0
380000.0,3.455924,5.638394218310714E-7,380000.0,92.33578947368422,84.2483045378447,84.25925425487644,81.79203761128339,380000.0,1219792.0,461.0,294.0,294.0,8.0,0.0,0.0,1.0
390000.0,3.542858,5.914924483249586E-7,390000.0,92.40512820512821,84.39143676785828,84.40207059616529,81.95640785097285,390000.0,1229576.0,463.0,295.0,295.0,8.0,0.0,0.0,1.0
400000.0,3.628823,6.192368375572067E-7,400000.0,92.45925,84.50347350022795,84.51249505794401,82.08816071545219,400000.0,1247544.0,478.0,304.0,304.0,8.0,0.0,0.0,1.0
410000.0,3.711565,6.46445688131369E-7,410000.0,92.5241463414634,84.63925530480174,84.6523226061659,82.25003185045342,410000.0,1271120.0,482.0,306.0,306.0,8.0,0.0,0.0,1.0
420000.0,3.804991,6.77610451117572E-7,420000.0,92.58904761904762,84.77143765564253,84.78176902278871,82.39648902537651,420000.0,1289432.0,496.0,313.0,313.0,8.0,0.0,0.0,1.0
430000.0,3.90661,7.125195971731511E-7,430000.0,92.64697674418605,84.89027249535866,84.90001958059325,82.53303575374554,430000.0,1327904.0,505.0,319.0,319.0,8.0,0.0,0.0,1.0
440000.0,3.991527,7.431193871878917E-7,440000.0,92.70727272727272,85.016719861358,85.02568984586092,82.68573926087403,440000.0,1392920.0,533.0,339.0,339.0,8.0,0.0,0.0,1.0
450000.0,4.073656,7.734413346710306E-7,450000.0,92.76577777777779,85.13883616708425,85.14648646922211,82.83107431042667,450000.0,1427128.0,548.0,348.0,348.0,8.0,0.0,0.0,1.0
460000.0,4.186146,8.15998061851909E-7,460000.0,92.81652173913044,85.24116803661369,85.25473116792132,82.94036562259612,460000.0,1462368.0,568.0,361.0,361.0,8.0,0.0,0.0,1.0
470000.0,4.290091,8.567954740921659E-7,470000.0,92.86212765957447,85.33609463373621,85.34810693244005,83.04997397978,470000.0,1517160.0,588.0,371.0,371.0,8.0,0.0,0.0,1.0
480000.0,4.363821,8.863050941502057E-7,480000.0,92.90395833333334,85.4220920876853,85.43822972377912,83.14863006243631,480000.0,1547112.0,609.0,383.0,383.0,8.0,0.0,0.0,1.0
490000.0,4.459024,9.255409985532365E-7,490000.0,92.95734693877552,85.53183245647156,85.5480871914065,83.27371604722852,490000.0,1593072.0,621.0,389.0,389.0,8.0,0.0,0.0,1.0
500000.0,4.531511,9.559828074876636E-7,500000.0,93.0016,85.62450520908394,85.64165692127776,83.38469427970426,500000.0,1623352.0,634.0,397.0,397.0,8.0,0.0,0.0,1.0
510000.0,4.614421,9.916905535612672E-7,510000.0,93.04156862745097,85.70824302285452,85.72376810777975,83.48588845715348,510000.0,1664784.0,646.0,406.0,406.0,8.0,0.0,0.0,1.0
520000.0,4.688935,1.0239656647025713E-6,520000.0,93.08826923076923,85.80378189680349,85.81856634982263,83.59397823546595,520000.0,1674296.0,648.0,407.0,407.0,8.0,0.0,0.0,1.0
530000.0,4.761477,1.0555570220015944E-6,530000.0,93.12905660377359,85.886717680525,85.9021559450116,83.68656121347328,530000.0,1683376.0,648.0,407.0,407.0,8.0,0.0,0.0,1.0
540000.0,4.84003,1.0900275317186284E-6,540000.0,93.17296296296296,85.97841913747968,85.99092560362975,83.79509360480704,540000.0,1696240.0,655.0,412.0,412.0,8.0,0.0,0.0,1.0
550000.0,4.926408,1.1284698890998133E-6,550000.0,93.21199999999999,86.05902723923433,86.06966287942387,83.8892173320157,550000.0,1720320.0,665.0,417.0,417.0,8.0,0.0,0.0,1.0
560000.0,5.013947,1.1681788148855172E-6,560000.0,93.2625,86.16277446407979,86.17487880575577,84.00830737279337,560000.0,1753432.0,680.0,429.0,429.0,8.0,0.0,0.0,1.0
570000.0,5.10223,1.2089902405358025E-6,570000.0,93.30508771929824,86.24927630614778,86.26002297137218,84.10587475790831,570000.0,1786928.0,685.0,433.0,433.0,8.0,0.0,0.0,1.0
580000.0,5.179065,1.2447432465685741E-6,580000.0,93.34551724137931,86.33269569202398,86.34364506781117,84.20216771996462,580000.0,1798688.0,687.0,434.0,434.0,8.0,0.0,0.0,1.0
590000.0,5.255407,1.2802880206290221E-6,590000.0,93.38745762711864,86.42030919088735,86.4293938202853,84.306579619551,590000.0,1799760.0,689.0,435.0,435.0,8.0,0.0,0.0,1.0
600000.0,5.329556,1.3149160878981155E-6,600000.0,93.42516666666667,86.49863058692678,86.50808851191903,84.39801301978281,600000.0,1805200.0,696.0,440.0,440.0,8.0,0.0,0.0,1.0
610000.0,5.408945,1.3524828667442007E-6,610000.0,93.46606557377049,86.5819576109209,86.59011308083885,84.49143968871596,610000.0,1829136.0,705.0,446.0,446.0,8.0,0.0,0.0,1.0
620000.0,5.48921,1.3907272969062132E-6,620000.0,93.49903225806452,86.65067684380183,86.6573535837714,84.57357843531244,620000.0,1841808.0,720.0,458.0,458.0,8.0,0.0,0.0,1.0
630000.0,5.574195,1.4321905310576163E-6,630000.0,93.52825396825398,86.71191475694006,86.7172712612598,84.64678415424011,630000.0,1885920.0,725.0,462.0,462.0,8.0,0.0,0.0,1.0
640000.0,5.651913,1.4705041179805996E-6,640000.0,93.5565625,86.77102666244883,86.77938715448092,84.71766707060824,640000.0,1905608.0,727.0,463.0,463.0,8.0,0.0,0.0,1.0
650000.0,5.737532,1.5132119224510262E-6,650000.0,93.59384615384614,86.84745304012161,86.85593613575885,84.80491614240464,650000.0,1928144.0,751.0,478.0,478.0,8.0,0.0,0.0,1.0
660000.0,5.823622,1.5573945689118573E-6,660000.0,93.62530303030303,86.91295057505363,86.91995846520217,84.88290204589062,660000.0,1983816.0,769.0,490.0,490.0,8.0,0.0,0.0,1.0
670000.0,5.905342,1.6001459444976517E-6,670000.0,93.65761194029851,86.97883648954485,86.98271980100662,84.95675784748602,670000.0,2022200.0,774.0,494.0,494.0,8.0,0.0,0.0,1.0
680000.0,5.981754,1.6400708118081095E-6,680000.0,93.69058823529411,87.04747270015015,87.05320365614824,85.03778565923508,680000.0,2019688.0,776.0,495.0,495.0,8.0,0.0,0.0,1.0
690000.0,6.06129,1.6821477852265042E-6,690000.0,93.72101449275362,87.11020437605909,87.11573976322104,85.11030233045676,690000.0,2044952.0,784.0,499.0,499.0,8.0,0.0,0.0,1.0
700000.0,6.149151,1.7289322430950903E-6,700000.0,93.74828571428571,87.16589560998858,87.17506872278197,85.17341500682683,700000.0,2058296.0,800.0,510.0,510.0,8.0,0.0,0.0,1.0
710000.0,6.224238,1.769351442990204E-6,710000.0,93.78070422535211,87.23188801666801,87.24169613757712,85.2470189670207,710000.0,2080776.0,800.0,510.0,510.0,8.0,0.0,0.0,1.0
720000.0,6.307556,1.8150138913426137E-6,720000.0,93.80847222222222,87.28964190317029,87.2985979138234,85.31532570205054,720000.0,2118472.0,811.0,517.0,517.0,8.0,0.0,0.0,1.0
730000.0,6.389561,1.8605865733159915E-6,730000.0,93.83931506849315,87.35414687832923,87.36152562092163,85.39273290654505,730000.0,2148160.0,827.0,528.0,528.0,8.0,0.0,0.0,1.0
740000.0,6.482359,1.9135231519738835E-6,740000.0,93.86986486486487,87.41737957048024,87.42647914807279,85.46681873810606,740000.0,2205056.0,846.0,539.0,539.0,8.0,0.0,0.0,1.0
750000.0,6.566901,1.9626214426921476E-6,750000.0,93.89213333333333,87.46331503453752,87.47268734634497,85.51901599233734,750000.0,2244896.0,866.0,552.0,552.0,8.0,0.0,0.0,1.0
760000.0,6.654911,2.014357463816802E-6,760000.0,93.92013157894736,87.52154957795402,87.53012422108816,85.58841509057336,760000.0,2272288.0,876.0,557.0,557.0,8.0,0.0,0.0,1.0
770000.0,6.735393,2.062275339468486E-6,770000.0,93.9474025974026,87.57848176494097,87.58587072044836,85.65616026444002,770000.0,2301448.0,889.0,565.0,565.0,8.0,0.0,0.0,1.0
780000.0,6.831411,2.120188730996516E-6,780000.0,93.97076923076924,87.62630425983457,87.63059053751225,85.71042244619532,780000.0,2331464.0,909.0,578.0,578.0,8.0,0.0,0.0,1.0
790000.0,6.916274,2.1724671080936163E-6,790000.0,93.99544303797468,87.67648868149335,87.68152072296664,85.76589768826366,790000.0,2381256.0,924.0,587.0,587.0,8.0,0.0,0.0,1.0
800000.0,7.00144,2.225155288289405E-6,800000.0,94.020125,87.7280635403494,87.7311674356219,85.82837879070648,800000.0,2391384.0,926.0,588.0,588.0,8.0,0.0,0.0,1.0
810000.0,7.094536,2.283610243360616E-6,810000.0,94.04716049382716,87.78413903416141,87.78951100306416,85.8947768725592,810000.0,2427128.0,938.0,597.0,597.0,8.0,0.0,0.0,1.0
820000.0,7.194408,2.347420088145882E-6,820000.0,94.07231707317074,87.83599858124333,87.8414716204284,85.95510325557741,820000.0,2469712.0,961.0,613.0,613.0,8.0,0.0,0.0,1.0
830000.0,7.291777,2.4109147819110917E-6,830000.0,94.09891566265061,87.89009823549826,87.89464318373925,86.0157889477366,830000.0,2520688.0,991.0,634.0,634.0,8.0,0.0,0.0,1.0
840000.0,7.391574,2.47737433269206E-6,840000.0,94.125,87.94402840919192,87.94757009825112,86.07745280863057,840000.0,2574200.0,1002.0,641.0,641.0,8.0,0.0,0.0,1.0
850000.0,7.486246,2.541618058130973E-6,850000.0,94.15129411764705,87.9970115705665,87.99978758122603,86.13540527877556,850000.0,2623080.0,1011.0,647.0,647.0,8.0,0.0,0.0,1.0
860000.0,7.587155,2.610619612143685E-6,860000.0,94.17790697674418,88.05168943140087,88.0541963005466,86.19843709083892,860000.0,2643208.0,1021.0,655.0,655.0,8.0,0.0,0.0,1.0
870000.0,7.682409,2.6767314924610155E-6,870000.0,94.20563218390805,88.10799921772539,88.10935122831434,86.26148714203178,870000.0,2682864.0,1033.0,664.0,664.0,8.0,0.0,0.0,1.0
880000.0,7.780024,2.744902458803521E-6,880000.0,94.23363636363636,88.16575452448929,88.1668450594526,86.32867330691245,880000.0,2699512.0,1038.0,668.0,668.0,8.0,0.0,0.0,1.0
890000.0,7.872973,2.8103378988595466E-6,890000.0,94.25696629213483,88.21409653737882,88.2146373406441,86.38507907165062,890000.0,2721264.0,1042.0,670.0,670.0,8.0,0.0,0.0,1.0
900000.0,7.966499,2.87683087878757E-6,900000.0,94.27722222222222,88.25561158891865,88.25572221436812,86.4328425045439,900000.0,2748184.0,1061.0,684.0,684.0,8.0,0.0,0.0,1.0
910000.0,8.082303,2.9612515141649372E-6,910000.0,94.30428571428571,88.31155952346988,88.31242629168537,86.49830027221695,910000.0,2817912.0,1089.0,704.0,704.0,8.0,0.0,0.0,1.0
920000.0,8.185684,3.0378760461861053E-6,920000.0,94.32510869565218,88.35433942507913,88.35457550599791,86.54719266149604,920000.0,2865032.0,1093.0,706.0,706.0,8.0,0.0,0.0,1.0
930000.0,8.298257,3.1219582187653406E-6,930000.0,94.35064516129033,88.40708482599896,88.40730966796703,86.60863802617662,930000.0,2887168.0,1106.0,714.0,714.0,8.0,0.0,0.0,1.0
940000.0,8.437046,3.227718575865857E-6,940000.0,94.37021276595745,88.4477510693142,88.44864317396014,86.65641271322131,940000.0,2945576.0,1125.0,728.0,728.0,8.0,0.0,0.0,1.0
950000.0,8.553333,3.3172409039653E-6,950000.0,94.39284210526316,88.49396089786342,88.49533057458552,86.70832064916333,950000.0,2975792.0,1135.0,733.0,733.0,8.0,0.0,0.0,1.0
960000.0,8.663956,3.4031043515561346E-6,960000.0,94.41708333333332,88.5435192730951,88.54526880019833,86.7649491918855,960000.0,3000304.0,1139.0,735.0,735.0,8.0,0.0,0.0,1.0
970000.0,8.771098,3.4864818902272307E-6,970000.0,94.44216494845361,88.59483240492901,88.59581579337042,86.82324013716676,970000.0,3008096.0,1145.0,738.0,738.0,8.0,0.0,0.0,1.0
980000.0,8.886438,3.576925132237374E-6,980000.0,94.46632653061225,88.64454977057696,88.64599930071248,86.88052642401809,980000.0,3031088.0,1151.0,741.0,741.0,8.0,0.0,0.0,1.0
990000.0,8.990155,3.658668542036579E-6,990000.0,94.48616161616161,88.68580327497212,88.68527201197242,86.92930807008133,990000.0,3046528.0,1155.0,743.0,743.0,8.0,0.0,0.0,1.0
1000000.0,9.202031,3.8259851497867036E-6,1000000.0,94.5076,88.73005851296233,88.72833615514854,86.98060744838965,1000000.0,3052528.0,1166.0,750.0,750.0,8.0,4001.216,0.0,1.0172001045015648
