learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.103981,1.1663822250233755E-10,10000.0,73.69,44.70178350725122,45.335549553293156,37.012209719894656,10000.0,4336.0
20000.0,0.154897,1.7375203884310192E-10,20000.0,73.52,44.296575717188155,45.48636129696345,37.2065449371591,20000.0,4336.0
30000.0,0.186881,2.0962933285368814E-10,30000.0,73.76,44.793212875346725,46.13015807842333,37.73137161841482,30000.0,4336.0
40000.0,0.210116,2.3569264345698885E-10,40000.0,73.9175,44.99353082165419,46.5056657950059,37.83590538044451,40000.0,4336.0
50000.0,0.236254,2.650123255120383E-10,50000.0,73.83,44.703996508277754,46.33115950945408,37.40731882324802,50000.0,4336.0
60000.0,0.263707,2.958070776528782E-10,60000.0,73.85666666666667,44.71076934298282,46.33779207006261,37.35372818403292,60000.0,4336.0
70000.0,0.289227,3.244335328539212E-10,70000.0,73.81142857142858,44.62626354778697,46.19786928066211,37.313636985364525,70000.0,4336.0
80000.0,0.313031,3.5113510572248033E-10,80000.0,73.8275,44.720588816233374,46.286652471717,37.53579952267304,80000.0,4336.0
90000.0,0.335848,3.767295347319709E-10,90000.0,73.77777777777777,44.63408700423951,46.18384147036691,37.46853554489811,90000.0,4336.0
100000.0,0.364365,4.087178036570549E-10,100000.0,73.831,44.74647210204382,46.210766479620155,37.614132119102685,100000.0,4336.0
110000.0,0.390366,4.3788380920886994E-10,110000.0,73.7909090909091,44.65640654673516,46.143356186135144,37.53926815000976,110000.0,4336.0
120000.0,0.412001,4.621523577306006E-10,120000.0,73.81166666666667,44.71975918424159,46.24082659048531,37.65177366875645,120000.0,4336.0
130000.0,0.434039,4.868729619516267E-10,130000.0,73.79,44.703966858164144,46.167093247385225,37.67628175815331,130000.0,4336.0
140000.0,0.453207,5.083742116888365E-10,140000.0,73.80285714285715,44.73075626946921,46.18973561430794,37.70424975371133,140000.0,4336.0
150000.0,0.47343,5.310588826735815E-10,150000.0,73.74266666666666,44.58605966092911,46.08424251550287,37.53508952785752,150000.0,4336.0
160000.0,0.493487,5.535573470923637E-10,160000.0,73.751875,44.59783780777057,46.06919046640641,37.527705466716256,160000.0,4336.0
170000.0,0.517497,5.804899955789249E-10,170000.0,73.76176470588234,44.595787534939795,46.05560729014234,37.497372661668884,170000.0,4336.0
180000.0,0.541443,6.073508535822233E-10,180000.0,73.78277777777778,44.636293634632416,46.06619579876111,37.54251756951705,180000.0,4336.0
190000.0,0.569869,6.392370454139181E-10,190000.0,73.77052631578948,44.61966413086454,46.01293453651244,37.55904426597171,190000.0,4336.0
200000.0,0.589928,6.617377532853022E-10,200000.0,73.709,44.51068374723896,45.90329218106996,37.50208001521383,200000.0,4336.0
210000.0,0.609467,6.83655163480176E-10,210000.0,73.74142857142857,44.579011042937104,45.9700176366843,37.57867330767488,210000.0,4336.0
220000.0,0.627871,7.042994143234361E-10,220000.0,73.77318181818183,44.649250032304494,46.03131547440887,37.65774915723054,220000.0,4336.0
230000.0,0.647603,7.264333176943993E-10,230000.0,73.74434782608695,44.58522805844892,45.99245175022805,37.601521006840386,230000.0,4336.0
