learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.133224,1.49440864721934E-10,10000.0,72.84,43.135166787319505,44.480784955028625,36.27404974190522,10000.0,4336.0
20000.0,0.18159,2.03694278995196E-10,20000.0,73.245,43.86986670734975,45.30307676581826,36.794235766595804,20000.0,4336.0
30000.0,0.215811,2.420808747410774E-10,30000.0,73.39333333333333,44.220014079775986,45.6007633067539,37.34202056676348,30000.0,4336.0
40000.0,0.242622,2.721554785966873E-10,40000.0,73.61999999999999,44.490547427256274,46.061442519041044,37.30243612596552,40000.0,4336.0
50000.0,0.267151,2.9967030303345784E-10,50000.0,73.642,44.508553671077614,46.17740749816222,37.335362084541856,50000.0,4336.0
60000.0,0.295611,3.315946335593859E-10,60000.0,73.675,44.637931864088884,46.15279719087717,37.71933283387879,60000.0,4336.0
70000.0,0.321413,3.605374155773057E-10,70000.0,73.6557142857143,44.5587738662803,46.07737068335333,37.60024363008833,70000.0,4336.0
80000.0,0.345583,3.8764954027202395E-10,80000.0,73.6575,44.5410004615092,45.96410256410257,37.52149421879633,80000.0,4336.0
90000.0,0.368162,4.129769984218809E-10,90000.0,73.67111111111112,44.587278337778194,46.052272106365535,37.66015100891846,90000.0,4336.0
100000.0,0.3939,4.418479899565379E-10,100000.0,73.723,44.74242221715231,46.11614649550918,37.91465834987242,100000.0,4336.0
110000.0,0.422061,4.734369243184726E-10,110000.0,73.69545454545454,44.728187111412105,46.109290024584666,37.979594461353784,110000.0,4336.0
120000.0,0.444689,4.988193470570776E-10,120000.0,73.70916666666668,44.69813913348707,46.05902065380934,37.8062964496225,120000.0,4336.0
130000.0,0.468269,5.252696532342169E-10,130000.0,73.71846153846154,44.70190207097965,46.118058950622164,37.79291007410375,130000.0,4336.0
140000.0,0.494759,5.549841829472118E-10,140000.0,73.70785714285715,44.69455952468389,46.10609232931669,37.81843367795123,140000.0,4336.0
150000.0,0.518911,5.820761165685125E-10,150000.0,73.696,44.66822144127809,45.998768220078,37.79011099899091,150000.0,4336.0
160000.0,0.540611,6.064175772998069E-10,160000.0,73.69125,44.668467258462954,45.97445934672398,37.820910514343105,160000.0,4336.0
170000.0,0.567197,6.36239792737696E-10,170000.0,73.67294117647059,44.64235799773142,45.981437002884626,37.81470571889068,170000.0,4336.0
180000.0,0.59625,6.68829306960106E-10,180000.0,73.64388888888888,44.59307977886888,45.956506385063165,37.77984707595053,180000.0,4336.0
190000.0,0.620412,6.959324578444163E-10,190000.0,73.68526315789474,44.67178661251741,46.01289263694377,37.86984454413281,190000.0,4336.0
200000.0,0.639018,7.168032974004746E-10,200000.0,73.7135,44.71118429042879,46.04300302765946,37.8723957410099,200000.0,4336.0
210000.0,0.658168,7.382843560642666E-10,210000.0,73.71571428571428,44.71231236420215,46.04978936771217,37.85591245313607,210000.0,4336.0
220000.0,0.679428,7.621322572231293E-10,220000.0,73.72772727272728,44.73945963615643,46.0965988044056,37.8872709687819,220000.0,4336.0
230000.0,0.69935,7.84479288591279E-10,230000.0,73.68,44.645463880518946,45.984242132219755,37.81932104154897,230000.0,4336.0
240000.0,0.717956,8.053501281473372E-10,240000.0,73.66166666666668,44.59803463312891,45.93383283725068,37.7430220418776,240000.0,4336.0
250000.0,0.737105,8.268300650848283E-10,250000.0,73.654,44.58974370613396,45.952488409305374,37.75574813120764,250000.0,4336.0
260000.0,0.758377,8.506914269593027E-10,260000.0,73.67576923076923,44.627148272434816,45.99944770996883,37.773999690883784,260000.0,4336.0
270000.0,0.780207,8.751787121097247E-10,270000.0,73.67777777777778,44.63875326808181,46.007338808317314,37.80519821475453,270000.0,4336.0
280000.0,0.799954,8.973294413752026E-10,280000.0,73.68107142857143,44.64815529701484,46.00335587681441,37.82755420568634,280000.0,4336.0
290000.0,0.819587,9.193522938423686E-10,290000.0,73.7003448275862,44.68656983777619,46.07563791652821,37.850699565674425,290000.0,4336.0
300000.0,0.839159,9.413067210051748E-10,300000.0,73.68133333333333,44.64736305468679,46.028122030746935,37.8108237962839,300000.0,4336.0
310000.0,0.859045,9.636133702264891E-10,310000.0,73.67645161290322,44.63239395145849,46.00619317956251,37.78552041718764,310000.0,4336.0
320000.0,0.878345,9.852626878354284E-10,320000.0,73.6434375,44.55390411675695,45.94634433962264,37.68535689745617,320000.0,4336.0
330000.0,0.901591,1.0113383374280399E-9,330000.0,73.66242424242424,44.595731071997356,46.0064235172795,37.74916021458397,330000.0,4336.0
340000.0,0.928095,1.0410685713092485E-9,340000.0,73.65411764705883,44.575907576551586,45.99202927823367,37.73001230439831,340000.0,4336.0
350000.0,0.952407,1.0683399811387061E-9,350000.0,73.65485714285714,44.57491834954371,46.01436759737941,37.72506855051125,350000.0,4336.0
360000.0,0.975741,1.094514342645804E-9,360000.0,73.64805555555556,44.55840459258879,46.01947161480117,37.697758572000865,360000.0,4336.0
370000.0,1.000734,1.1225496480862299E-9,370000.0,73.63702702702703,44.53345820409483,45.99755296827162,37.666229990094884,370000.0,4336.0
380000.0,1.025097,1.1498782659570376E-9,380000.0,73.655,44.56828031943469,46.04227750948604,37.691929470781915,380000.0,4336.0
390000.0,1.045995,1.1733201021949451E-9,390000.0,73.64641025641025,44.547664835977145,46.027369924590914,37.66776437482184,390000.0,4336.0
400000.0,1.064489,1.1940653084052934E-9,400000.0,73.65875,44.56582127283037,46.0491146862743,37.68039651746,400000.0,4336.0
410000.0,1.083313,1.2151806842949656E-9,410000.0,73.67512195121951,44.58439430788512,46.05180290504134,37.67640605150711,410000.0,4336.0
420000.0,1.105346,1.2398956798844867E-9,420000.0,73.67380952380952,44.58409910804445,46.07025450430676,37.679656412395296,420000.0,4336.0
430000.0,1.124938,1.2618725415733125E-9,430000.0,73.67325581395349,44.58480138700732,46.06948725400054,37.67720198411168,430000.0,4336.0
440000.0,1.145494,1.2849307474162843E-9,440000.0,73.65795454545454,44.56682911631043,46.02894474608156,37.678112464915195,440000.0,4336.0
450000.0,1.168072,1.3102570838398402E-9,450000.0,73.64377777777777,44.53748827434783,46.03950936322771,37.64628568424372,450000.0,4336.0
460000.0,1.18855,1.3332277950313354E-9,460000.0,73.65282608695652,44.55170452741479,46.04594221608868,37.656505591506274,460000.0,4336.0
470000.0,1.207938,1.354975824554761E-9,470000.0,73.65021276595745,44.53836034164013,46.03770789669761,37.6323833792447,470000.0,4336.0
480000.0,1.22727,1.3766610374053317E-9,480000.0,73.64375,44.52625207553474,46.02999897614415,37.61772798548308,480000.0,4336.0
490000.0,1.248935,1.4009632377160917E-9,490000.0,73.63428571428572,44.511895364985484,46.020206071849394,37.620047801839654,490000.0,4336.0
500000.0,1.269126,1.4236120134592053E-9,500000.0,73.63340000000001,44.511802856386325,46.01610102863133,37.62307841532254,500000.0,4336.0
510000.0,1.288786,1.4456651525364978E-9,510000.0,73.64019607843137,44.5222330088421,46.03799637938579,37.62353727229703,510000.0,4336.0
520000.0,1.308301,1.467555641300148E-9,520000.0,73.64596153846153,44.53136873704208,46.03091464014965,37.62925541598397,520000.0,4336.0
530000.0,1.327141,1.488688964810636E-9,530000.0,73.64509433962264,44.53687093677366,46.022011484925066,37.64018357798493,530000.0,4336.0
540000.0,1.347228,1.5112210810184477E-9,540000.0,73.65314814814815,44.54896700958565,46.04719775198238,37.64222724802328,540000.0,4336.0
550000.0,1.366214,1.5325181765688788E-9,550000.0,73.66090909090909,44.56018894371953,46.070858197981536,37.64339243361441,550000.0,4336.0
560000.0,1.386315,1.555065996944904E-9,560000.0,73.65642857142856,44.55666366740312,46.05497475052198,37.64782458008942,560000.0,4336.0
570000.0,1.409228,1.5807681116792887E-9,570000.0,73.66122807017544,44.56487690566134,46.07363505747128,37.65505155581027,570000.0,4336.0
580000.0,1.429174,1.6031420644786619E-9,580000.0,73.6651724137931,44.567124194622025,46.07500820832553,37.64334616593658,580000.0,4336.0
590000.0,1.450293,1.6268318022290861E-9,590000.0,73.67,44.578776916958915,46.09563135431486,37.653461333162106,590000.0,4336.0
600000.0,1.471774,1.6509276049004656E-9,600000.0,73.67833333333334,44.59328181591081,46.10854046380847,37.66724817063063,600000.0,4336.0
610000.0,1.491926,1.673532633317841E-9,610000.0,73.66360655737705,44.55793551302727,46.06857749041567,37.61789934337492,610000.0,4336.0
620000.0,1.511483,1.6954702345861324E-9,620000.0,73.66612903225807,44.561908618716444,46.061929507530586,37.62511652072923,620000.0,4336.0
630000.0,1.533008,1.7196153932147552E-9,630000.0,73.67412698412699,44.57201459622379,46.071781598730595,37.6286139775565,630000.0,4336.0
640000.0,1.555411,1.7447454275356394E-9,640000.0,73.6703125,44.57041033386185,46.05781234994718,37.644546904429745,640000.0,4336.0
650000.0,1.575716,1.767522080077065E-9,650000.0,73.67246153846155,44.57131212438262,46.06508913037998,37.640431013435474,650000.0,4336.0
660000.0,1.595737,1.7899801623490117E-9,660000.0,73.67712121212121,44.57729508867524,46.06888416347183,37.63783993337737,660000.0,4336.0
670000.0,1.615892,1.81258855594529E-9,670000.0,73.66776119402985,44.55877982069469,46.05880680341576,37.62890424760927,670000.0,4336.0
680000.0,1.635411,1.8344835316141442E-9,680000.0,73.67529411764706,44.56990924051048,46.07721758828332,37.629178484073506,680000.0,4336.0
690000.0,1.655466,1.8569797525803244E-9,690000.0,73.68608695652173,44.594927652317104,46.11885154685064,37.661668823967666,690000.0,4336.0
700000.0,1.676513,1.880588726037078E-9,700000.0,73.69200000000001,44.60139445057856,46.13053449405598,37.65264701003145,700000.0,4336.0
710000.0,1.697861,1.9045353391104273E-9,710000.0,73.70169014084507,44.620525331966235,46.14219742880465,37.67028858511508,710000.0,4336.0
720000.0,1.719598,1.928918303714858E-9,720000.0,73.705,44.627358006656955,46.14424004164544,37.67480445603224,720000.0,4336.0
730000.0,1.740212,1.952041569683287E-9,730000.0,73.70520547945205,44.62771749449159,46.138240468714486,37.68014778692969,730000.0,4336.0
740000.0,1.76273,1.977300602528784E-9,740000.0,73.70445945945946,44.624600064825906,46.14745954562689,37.670129312691984,740000.0,4336.0
750000.0,1.782984,2.0000200470288598E-9,750000.0,73.70893333333333,44.630811605107084,46.15031692669859,37.66876246653201,750000.0,4336.0
760000.0,1.805778,2.0255886763334278E-9,760000.0,73.71526315789474,44.645120264399345,46.17078093380078,37.68902530318911,760000.0,4336.0
770000.0,1.828021,2.050539234446155E-9,770000.0,73.71363636363635,44.64282527912904,46.17031461929202,37.68549191532332,770000.0,4336.0
780000.0,1.847419,2.0722984812325903E-9,780000.0,73.72115384615384,44.65778376399162,46.18510904751778,37.70192357373192,780000.0,4336.0
790000.0,1.866549,2.093757105370363E-9,790000.0,73.72721518987342,44.671016445955026,46.19637913335614,37.71867704513675,790000.0,4336.0
800000.0,1.886893,2.1165775052375267E-9,800000.0,73.721625,44.65962314053417,46.178443420378905,37.700181363426225,800000.0,4336.0
810000.0,1.906219,2.1382559877302914E-9,810000.0,73.73074074074074,44.67882924480865,46.197725841810225,37.72287717901589,810000.0,4336.0
820000.0,1.925056,2.1593859460618765E-9,820000.0,73.73439024390244,44.6825604931935,46.202841499480456,37.725205363003134,820000.0,4336.0
830000.0,1.944158,2.1808131618632215E-9,830000.0,73.72867469879519,44.66739570812944,46.20423207584876,37.706903742979414,830000.0,4336.0
840000.0,1.963173,2.202142787476381E-9,840000.0,73.7304761904762,44.67336682679122,46.20037595176505,37.718317809765736,840000.0,4336.0
850000.0,1.982601,2.223935686051846E-9,850000.0,73.71988235294118,44.65564205085529,46.180385732011416,37.708342047656906,850000.0,4336.0
860000.0,2.002178,2.245895721846157E-9,860000.0,73.71616279069767,44.64922495421146,46.179689136935934,37.70400992145514,860000.0,4336.0
870000.0,2.021394,2.267450814445814E-9,870000.0,73.71160919540229,44.64017449876972,46.16116176204028,37.696580393310605,870000.0,4336.0
880000.0,2.041161,2.2896239782373114E-9,880000.0,73.70840909090909,44.631093317282804,46.15701469612873,37.679695517611975,880000.0,4336.0
890000.0,2.062744,2.313834196991391E-9,890000.0,73.71292134831461,44.6464716531904,46.17096078007299,37.703368393023574,890000.0,4336.0
900000.0,2.084309,2.338024224672053E-9,900000.0,73.71088888888889,44.64151289634816,46.15743469425374,37.6961461995234,900000.0,4336.0
910000.0,2.10568,2.3619966374503244E-9,910000.0,73.71054945054945,44.64205625524757,46.1571528563937,37.70385936405512,910000.0,4336.0
920000.0,2.126421,2.3852623626589777E-9,920000.0,73.71043478260869,44.64177093295684,46.157681964702306,37.705500709577876,920000.0,4336.0
930000.0,2.147582,2.4089992129140434E-9,930000.0,73.71107526881721,44.63711823969809,46.15879265958876,37.69492078297056,930000.0,4336.0
940000.0,2.1681,2.4320147931575777E-9,940000.0,73.70340425531914,44.621819670106696,46.13936462282651,37.681393261599595,940000.0,4336.0
950000.0,2.188965,2.455419612427553E-9,950000.0,73.70400000000001,44.62816993203708,46.14658290828976,37.6977713932284,950000.0,4336.0
960000.0,2.208914,2.477796930405829E-9,960000.0,73.70145833333333,44.62366968147544,46.14311434983318,37.7005571924214,960000.0,4336.0
970000.0,2.228938,2.5002583778566787E-9,970000.0,73.70814432989691,44.633332995032596,46.15270924519497,37.704329389234665,970000.0,4336.0
980000.0,2.248781,2.5225167928470507E-9,980000.0,73.70642857142857,44.63121079621702,46.14630618881616,37.703201910895785,980000.0,4336.0
990000.0,2.268839,2.5450163789921337E-9,990000.0,73.71141414141414,44.64083429300899,46.15023318753079,37.71297282420094,990000.0,4336.0
1000000.0,2.289418,2.5681003845400282E-9,1000000.0,73.7125,44.64700581375681,46.16273140041411,37.726677263693034,1000000.0,4336.0
