learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.45051,1.299641796698173E-8,10000.0,80.08999999999999,58.81715420454307,59.557180580946564,53.18598636256758,10000.0,111512.0,33.0,26.0,26.0,3.0,0.0,0.0,1.0
20000.0,0.608868,2.1067964769899846E-8,20000.0,83.36,65.58721081779264,66.0892602404728,60.507891301768126,20000.0,197024.0,61.0,46.0,46.0,3.0,0.0,0.0,1.0
30000.0,0.69298,2.5634048452807798E-8,30000.0,85.06333333333333,69.17402088201311,69.46091460505691,64.59666587659004,30000.0,209840.0,73.0,52.0,52.0,4.0,0.0,0.0,1.0
40000.0,0.7948,3.3286187247269684E-8,40000.0,85.9175,70.9553936823913,71.18227861052847,66.52403874725145,40000.0,290504.0,98.0,69.0,69.0,5.0,0.0,0.0,1.0
50000.0,0.874762,3.9807809785836276E-8,50000.0,86.67200000000001,72.5305606787095,72.82994251233336,68.39009581633623,50000.0,315264.0,108.0,74.0,74.0,5.0,0.0,0.0,1.0
60000.0,0.959352,4.723874390539196E-8,60000.0,87.26,73.75329574000745,74.04149828505452,69.79969183359015,60000.0,339568.0,117.0,80.0,80.0,5.0,0.0,0.0,1.0
70000.0,1.047244,5.5349380742344595E-8,70000.0,87.66285714285715,74.60017331646442,74.83609662286197,70.81347798168238,70000.0,356704.0,134.0,90.0,90.0,5.0,0.0,0.0,1.0
80000.0,1.137221,6.472223667427897E-8,80000.0,88.08875,75.47682664989789,75.68140057166191,71.77763298187419,80000.0,402664.0,144.0,95.0,95.0,5.0,0.0,0.0,1.0
90000.0,1.246253,7.72031179877619E-8,90000.0,88.46000000000001,76.24183424568717,76.40028176054899,72.65330840727772,90000.0,442480.0,162.0,104.0,104.0,5.0,0.0,0.0,1.0
100000.0,1.356717,9.128111969886554E-8,100000.0,88.82,76.98096198601513,77.06760748276993,73.48323134576158,100000.0,492632.0,186.0,119.0,119.0,6.0,0.0,0.0,1.0
110000.0,1.460762,1.063832231135004E-7,110000.0,89.11363636363636,77.58636509940061,77.66899766899766,74.17455627682287,110000.0,561072.0,210.0,134.0,134.0,6.0,0.0,0.0,1.0
120000.0,1.55518,1.2082192267187765E-7,120000.0,89.38583333333334,78.14933663665391,78.21133482730896,74.82557564976776,120000.0,591120.0,224.0,141.0,141.0,6.0,0.0,0.0,1.0
130000.0,1.622559,1.3133504411826529E-7,130000.0,89.64769230769231,78.69670430855864,78.79294043491963,75.4863387978142,130000.0,603128.0,226.0,142.0,142.0,6.0,0.0,0.0,1.0
140000.0,1.693982,1.428141037892136E-7,140000.0,89.88000000000001,79.17653884040496,79.2571336544515,76.03720930232559,140000.0,621256.0,234.0,146.0,146.0,6.0,0.0,0.0,1.0
150000.0,1.791913,1.5886280003935095E-7,150000.0,90.07933333333334,79.59257261997227,79.66159607473314,76.52728047068473,150000.0,633464.0,240.0,149.0,149.0,6.0,0.0,0.0,1.0
160000.0,1.893718,1.7630486443017915E-7,160000.0,90.25937499999999,79.97170616359031,80.0555399145146,76.97694000856808,160000.0,662264.0,251.0,156.0,156.0,6.0,0.0,0.0,1.0
170000.0,1.978983,1.91366322827008E-7,170000.0,90.40529411764706,80.27286717363754,80.34250867720787,77.30864472329652,170000.0,682808.0,263.0,162.0,162.0,6.0,0.0,0.0,1.0
180000.0,2.061479,2.0634039454162117E-7,180000.0,90.55,80.5728778408691,80.6438398252142,77.65282394208914,180000.0,701632.0,270.0,167.0,167.0,6.0,0.0,0.0,1.0
190000.0,2.135697,2.2063659324828118E-7,190000.0,90.69526315789473,80.87858436022768,80.94442528240062,78.01720922135733,190000.0,744584.0,291.0,182.0,182.0,6.0,0.0,0.0,1.0
200000.0,2.194706,2.3258668224223782E-7,200000.0,90.82000000000001,81.13333432741616,81.2210414344015,78.2929972452442,200000.0,782808.0,298.0,187.0,187.0,6.0,0.0,0.0,1.0
210000.0,2.25165,2.443923512453006E-7,210000.0,90.95619047619049,81.41238781553443,81.48530874066566,78.6077945483217,210000.0,801392.0,308.0,192.0,192.0,6.0,0.0,0.0,1.0
220000.0,2.310316,2.567723601911631E-7,220000.0,91.07227272727273,81.65230661586797,81.73270089285715,78.87950965105651,220000.0,815712.0,316.0,196.0,196.0,6.0,0.0,0.0,1.0
230000.0,2.372944,2.7050457928122747E-7,230000.0,91.17608695652174,81.86801037262377,81.94009397024276,79.13089080607513,230000.0,847568.0,326.0,204.0,204.0,6.0,0.0,0.0,1.0
240000.0,2.430712,2.837122783416675E-7,240000.0,91.26125,82.04526173781666,82.09792239274802,79.33613147316152,240000.0,883776.0,337.0,211.0,211.0,6.0,0.0,0.0,1.0
