learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.465071,2.188274675152368E-8,10000.0,81.13,61.231247901823636,61.31611316113161,55.77689243027889,10000.0,181880.0,55.0,43.0,43.0,3.0,0.0,0.0,1.0
20000.0,0.591932,2.838406560114688E-8,20000.0,84.075,67.24353155909353,67.5,62.55144032921811,20000.0,198096.0,61.0,46.0,46.0,3.0,0.0,0.0,1.0
30000.0,0.679049,3.3110212923751935E-8,30000.0,85.46000000000001,70.06885672547712,70.17639819499523,65.6697623170156,30000.0,209704.0,67.0,49.0,49.0,4.0,0.0,0.0,1.0
40000.0,0.804968,4.1900862620936496E-8,40000.0,86.2975,71.81235480997043,71.96132596685084,67.69040320679086,40000.0,269856.0,91.0,64.0,64.0,4.0,0.0,0.0,1.0
50000.0,0.88298,4.762876907156573E-8,50000.0,86.81,72.88085534612877,73.09041945487188,68.9617846385542,50000.0,283816.0,97.0,67.0,67.0,4.0,0.0,0.0,1.0
60000.0,0.96462,5.41696496721771E-8,60000.0,87.155,73.56639176102811,73.78660589775859,69.68254592659613,60000.0,309696.0,109.0,73.0,73.0,5.0,0.0,0.0,1.0
70000.0,1.048525,6.120700043522649E-8,70000.0,87.52142857142857,74.32605807985216,74.52387202146586,70.56643191697273,70000.0,324208.0,115.0,76.0,76.0,5.0,0.0,0.0,1.0
80000.0,1.13303,6.901592964099513E-8,80000.0,87.8475,75.01849312769814,75.13300593411091,71.39662832092736,80000.0,357200.0,128.0,84.0,84.0,5.0,0.0,0.0,1.0
90000.0,1.248346,8.147963915434149E-8,90000.0,88.14999999999999,75.64716282675276,75.70615034168564,72.11764705882352,90000.0,417792.0,162.0,101.0,101.0,5.0,0.0,0.0,1.0
100000.0,1.329342,9.087981460822953E-8,100000.0,88.441,76.23344249281601,76.3013839056894,72.76454371951651,100000.0,448616.0,172.0,106.0,106.0,5.0,0.0,0.0,1.0
