learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.614018,7.366683636274602E-9,10000.0,79.78,69.63732961485222,69.74412688912165,69.28918590522478,10000.0,46376.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
20000.0,0.990148,1.3611335733698473E-8,20000.0,79.7,69.53251097578162,69.66527196652721,69.30520904211083,20000.0,64176.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,1.341507,2.2253078640335136E-8,30000.0,79.90333333333334,69.83970309954938,70.01094309590133,69.61955152431344,30000.0,95072.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
40000.0,1.715483,3.577223741759856E-8,40000.0,80.21249999999999,70.30459284455604,70.4023633236108,70.07448296721994,40000.0,139736.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
50000.0,2.09874,5.297337484028604E-8,50000.0,80.596,70.88521071677498,70.98857723820345,70.7577310265839,50000.0,173488.0,21.0,11.0,11.0,4.0,0.0,0.0,1.0
60000.0,2.473719,7.161120019025272E-8,60000.0,80.70166666666667,71.04418451716934,71.11964682114086,70.9384333509023,60000.0,192128.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0
70000.0,2.868191,9.618733478917015E-8,70000.0,80.88571428571429,71.32067813294594,71.39130620710299,71.24621236541809,70000.0,240824.0,29.0,15.0,15.0,5.0,0.0,0.0,1.0
80000.0,3.302393,1.2638838910394242E-7,80000.0,81.1125,71.66535896328817,71.68237785565695,71.5891997593261,80000.0,268864.0,33.0,17.0,17.0,5.0,0.0,0.0,1.0
90000.0,3.702056,1.5448236330308844E-7,90000.0,81.31444444444445,71.96816281160406,71.96886355302196,71.88121791763507,90000.0,271720.0,32.0,14.0,14.0,5.0,0.0,0.0,1.0
100000.0,4.081614,1.829933709506359E-7,100000.0,81.488,72.2303850927571,72.19042468490395,72.16910217090626,100000.0,290360.0,34.0,15.0,15.0,5.0,0.0,0.0,1.0
