learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.448025,2.968079565713803E-9,10000.0,80.17,70.26494875344606,69.835716458777,69.88153098420412,10000.0,25608.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
20000.0,0.65318,5.685879910985629E-9,20000.0,79.97,69.95044651603669,69.84796025891916,69.73634509329908,20000.0,51208.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,0.820467,7.902022175904777E-9,30000.0,79.75333333333333,69.64607983743652,69.59046760789026,69.40975020145045,30000.0,51208.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
40000.0,0.999346,1.2009861260238621E-8,40000.0,79.705,69.56876513912816,69.59094995504945,69.39721792890263,40000.0,88768.0,13.0,7.0,7.0,3.0,0.0,0.0,1.0
50000.0,1.151447,1.553581396738688E-8,50000.0,80.33,70.50450396794227,70.5062076410964,70.32555894155628,50000.0,89608.0,13.0,7.0,7.0,3.0,0.0,0.0,1.0
60000.0,1.315697,2.037407665203015E-8,60000.0,80.73333333333333,71.10612641617243,71.0754141019867,70.93724859211584,60000.0,113864.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
70000.0,1.483372,2.6409121286123988E-8,70000.0,80.87571428571428,71.31524189424077,71.3107024988213,71.17976318622175,70000.0,139128.0,21.0,11.0,11.0,4.0,0.0,0.0,1.0
80000.0,1.652315,3.308594983278049E-8,80000.0,81.06125,71.59584662849777,71.54207362885047,71.46328141186218,80000.0,152768.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0
90000.0,1.806151,3.957484987667865E-8,90000.0,81.27333333333333,71.91288440633589,71.86827126904907,71.78680237035053,90000.0,163048.0,25.0,13.0,13.0,4.0,0.0,0.0,1.0
100000.0,1.960066,4.664364568061298E-8,100000.0,81.439,72.16200779301921,72.1080155080696,72.02730807487114,100000.0,177528.0,27.0,14.0,14.0,4.0,0.0,0.0,1.0
110000.0,2.102785,5.322926110691494E-8,110000.0,81.63181818181819,72.4502789199248,72.41449928322753,72.32646688215635,110000.0,178368.0,27.0,14.0,14.0,4.0,0.0,0.0,1.0
120000.0,2.283351,6.321378910707103E-8,120000.0,81.73166666666667,72.59925594243201,72.58379189594798,72.46049094243864,120000.0,213744.0,33.0,17.0,17.0,5.0,0.0,0.0,1.0
130000.0,2.43647,7.224088737948073E-8,130000.0,81.80076923076923,72.70351822541058,72.68833837416018,72.58326187220433,130000.0,227888.0,35.0,18.0,18.0,5.0,0.0,0.0,1.0
140000.0,2.579247,8.166590327603949E-8,140000.0,81.88142857142857,72.82375999039697,72.82088096947359,72.7000731843816,140000.0,255168.0,39.0,20.0,20.0,5.0,0.0,0.0,1.0
150000.0,2.710337,9.072503564258416E-8,150000.0,81.98533333333333,72.9803645891681,72.9671868747499,72.86430142296221,150000.0,267128.0,41.0,21.0,21.0,5.0,0.0,0.0,1.0
160000.0,2.852402,1.0190450246756275E-7,160000.0,82.089375,73.1368024978754,73.12759632786639,73.01753196617892,160000.0,304184.0,47.0,24.0,24.0,5.0,0.0,0.0,1.0
170000.0,2.981767,1.1288509932657082E-7,170000.0,82.17,73.25718220745438,73.24122710218495,73.15258500810445,170000.0,328104.0,51.0,26.0,26.0,5.0,0.0,0.0,1.0
180000.0,3.107935,1.235943324615558E-7,180000.0,82.27777777777779,73.41871652541334,73.40979753102886,73.31950519809641,180000.0,328104.0,51.0,26.0,26.0,5.0,0.0,0.0,1.0
190000.0,3.241673,1.3570976241595215E-7,190000.0,82.36421052631579,73.54761898141237,73.53928280937826,73.46720616997521,190000.0,350176.0,55.0,28.0,28.0,6.0,0.0,0.0,1.0
200000.0,3.37465,1.482254857673413E-7,200000.0,82.464,73.69757848985235,73.68409205165338,73.6124173318988,200000.0,363816.0,57.0,29.0,29.0,6.0,0.0,0.0,1.0
210000.0,3.517035,1.6248921572541197E-7,210000.0,82.56714285714285,73.8519668076328,73.84118500310828,73.7746608020402,210000.0,387232.0,61.0,31.0,31.0,6.0,0.0,0.0,1.0
220000.0,3.652188,1.7649362762769063E-7,220000.0,82.63272727272727,73.94994859680709,73.95465514185605,73.87219201969431,220000.0,400536.0,63.0,32.0,32.0,6.0,0.0,0.0,1.0
230000.0,3.791321,1.9132221209713154E-7,230000.0,82.67869565217391,74.01916298417865,74.00713777737182,73.93724895000588,230000.0,411976.0,65.0,33.0,33.0,6.0,0.0,0.0,1.0
240000.0,3.924255,2.0557677963748574E-7,240000.0,82.72625000000001,74.09016637066095,74.08548782317348,74.00097832630945,240000.0,414496.0,65.0,33.0,33.0,6.0,0.0,0.0,1.0
250000.0,4.070632,2.225106693783568E-7,250000.0,82.77759999999999,74.16691878820347,74.16381638163814,74.0746762044112,250000.0,447184.0,71.0,36.0,36.0,6.0,0.0,0.0,1.0
260000.0,4.199032,2.3780066643945044E-7,260000.0,82.82307692307693,74.23475552963158,74.22713134006221,74.14237327389051,260000.0,460304.0,73.0,37.0,37.0,7.0,0.0,0.0,1.0
270000.0,4.329684,2.5340426073927016E-7,270000.0,82.8537037037037,74.28064359037236,74.26311166457266,74.19050910956003,270000.0,461648.0,73.0,37.0,37.0,7.0,0.0,0.0,1.0
280000.0,4.459763,2.68939422412465E-7,280000.0,82.90678571428572,74.36015902971636,74.33974200881416,74.27159936352298,280000.0,461648.0,73.0,37.0,37.0,7.0,0.0,0.0,1.0
290000.0,4.591293,2.846478750825756E-7,290000.0,82.94275862068966,74.41435091756858,74.3992630200651,74.32551669728961,290000.0,461648.0,73.0,37.0,37.0,7.0,0.0,0.0,1.0
