learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.621114,1.0015027336776258E-8,10000.0,79.19,68.81049009481266,69.00044689408611,68.58867924528302,10000.0,62328.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
20000.0,1.028479,1.9945724782430462E-8,20000.0,78.455,67.69797315538896,67.70591321292063,67.49886860763311,20000.0,94232.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
30000.0,1.455857,3.366880362853408E-8,30000.0,79.25,68.88455897463739,68.97737466361008,68.72330804401346,30000.0,124120.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
40000.0,1.825202,4.899422965943813E-8,40000.0,79.975,69.96803597962764,70.09855159026431,69.80890279295917,40000.0,160392.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
50000.0,2.253883,7.01149283390906E-8,50000.0,80.54599999999999,70.82231455005389,70.94162633685845,70.70445441676955,50000.0,190448.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0
60000.0,2.637825,9.094956477897034E-8,60000.0,81.00833333333334,71.51430346505475,71.58991747488096,71.38803796514841,60000.0,209760.0,25.0,13.0,13.0,4.0,0.0,0.0,1.0
70000.0,3.007047,1.1411306074923938E-7,70000.0,81.18142857142857,71.77297647603554,71.82547321142124,71.68253831767665,70000.0,242504.0,29.0,15.0,15.0,5.0,0.0,0.0,1.0
80000.0,3.345109,1.3818539237810503E-7,80000.0,81.4275,72.14285610145512,72.1760299625468,72.04305121740111,80000.0,275248.0,33.0,17.0,17.0,5.0,0.0,0.0,1.0
90000.0,3.687,1.6631734090960685E-7,90000.0,81.51666666666667,72.27578174594306,72.32987907317154,72.17762167586554,90000.0,318064.0,39.0,20.0,20.0,6.0,0.0,0.0,1.0
100000.0,4.02651,1.970239289022154E-7,100000.0,81.671,72.5052664790248,72.57082142376129,72.38984710401446,100000.0,349608.0,43.0,22.0,22.0,6.0,0.0,0.0,1.0
