learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.447156,4.287547841668129E-9,10000.0,79.80000000000001,69.62613836196171,69.71968220656574,69.29157798723017,10000.0,37064.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
20000.0,0.671523,7.259860044966141E-9,20000.0,78.945,68.39438974073634,68.39774859287054,68.14192767438341,20000.0,51208.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,0.845464,9.564151482449639E-9,30000.0,78.89333333333333,68.3236456038131,68.33208302075519,67.95870863272948,30000.0,51208.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
40000.0,1.028638,1.3203870981103845E-8,40000.0,78.625,67.92716707537116,67.91263229002476,67.71148036253777,40000.0,76808.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
50000.0,1.20946,1.8490995893047918E-8,50000.0,79.238,68.84695838402045,68.83705571565802,68.66302411929846,50000.0,113024.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
60000.0,1.382213,2.4091355167329312E-8,60000.0,79.97999999999999,69.96025612092697,69.95272281561897,69.82591876208897,60000.0,125312.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
70000.0,1.538873,3.020687640955051E-8,70000.0,80.51857142857143,70.770277446301,70.76365663322186,70.66302383615867,70000.0,150896.0,23.0,12.0,12.0,5.0,0.0,0.0,1.0
80000.0,1.697604,3.689436640383469E-8,80000.0,80.8675,71.29207214723529,71.32902500702446,71.21254866557581,80000.0,162856.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0
90000.0,1.828323,4.2430090206778714E-8,90000.0,81.15333333333334,71.72240847210023,71.75965236501673,71.63450282618147,90000.0,163696.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0
100000.0,1.97093,4.8842307563043304E-8,100000.0,81.362,72.03793079981591,72.03852616418627,71.965344002888,100000.0,173808.0,27.0,14.0,14.0,5.0,0.0,0.0,1.0
110000.0,2.117017,5.6448035267078215E-8,110000.0,81.48454545454545,72.22118701925882,72.25053136410703,72.1427399058978,110000.0,201248.0,31.0,16.0,16.0,6.0,0.0,0.0,1.0
120000.0,2.293057,6.681769224711591E-8,120000.0,81.51916666666666,72.2717465999414,72.29468055867876,72.17195989610128,120000.0,227696.0,35.0,18.0,18.0,6.0,0.0,0.0,1.0
130000.0,2.44831,7.644325072152748E-8,130000.0,81.58923076923077,72.37933729312589,72.39064230343301,72.26811888071374,130000.0,239656.0,37.0,19.0,19.0,6.0,0.0,0.0,1.0
140000.0,2.597492,8.61857913600074E-8,140000.0,81.65785714285714,72.48280843697866,72.49022443623119,72.38668745631485,140000.0,252440.0,39.0,20.0,20.0,7.0,0.0,0.0,1.0
150000.0,2.754756,9.753183152940538E-8,150000.0,81.696,72.54047636097522,72.52036751606383,72.44950179114363,150000.0,278880.0,43.0,22.0,22.0,7.0,0.0,0.0,1.0
