learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,1.974768,1.94867738087972E-8,100000.0,96.312,92.22734678503515,92.20691403938804,90.43518854712381,100000.0,38144.0,231.0,85.0,85.0,5.0,0.0,0.0,1.0
200000.0,3.080142,3.2693598680198194E-8,200000.0,96.5895,92.79412136726137,92.77436440677965,91.1102712142736,200000.0,46184.0,451.0,179.0,179.0,5.0,0.0,0.0,1.0
300000.0,4.171801,3.7761216906623706E-8,300000.0,96.49966666666666,92.60173606508417,92.58911621276384,90.86496220194338,300000.0,17944.0,653.0,249.0,249.0,2.0,0.0,0.0,1.0
400000.0,5.254296,4.869182525409592E-8,400000.0,96.42174999999999,92.43957182187702,92.43534926985501,90.66486655709477,400000.0,39032.0,815.0,285.0,285.0,5.0,0.0,0.0,1.0
500000.0,6.338647,7.042445501519574E-8,500000.0,96.43979999999999,92.47871145674816,92.48972669203702,90.71738098838694,500000.0,77472.0,990.0,331.0,331.0,4.0,0.0,0.0,1.0
600000.0,7.390799,7.667399423817793E-8,600000.0,96.34016666666668,92.25868076266373,92.27242015174338,90.44084678103928,600000.0,22960.0,1178.0,379.0,379.0,2.0,0.0,0.0,1.0
700000.0,8.439036,8.70178712490532E-8,700000.0,96.37485714285714,92.33092582863024,92.34486711514676,90.53250905672063,700000.0,38144.0,1362.0,432.0,432.0,3.0,0.0,0.0,1.0
800000.0,9.534233,9.395148011338379E-8,800000.0,96.3465,92.26977156937531,92.28048861010235,90.45342008479172,800000.0,24472.0,1655.0,572.0,572.0,2.0,0.0,0.0,1.0
900000.0,10.541458,9.801428486903508E-8,900000.0,96.39077777777779,92.36248650885167,92.37729827402114,90.56919302626041,900000.0,15592.0,1857.0,657.0,657.0,2.0,0.0,0.0,1.0
1000000.0,11.657575,1.0071227391560873E-7,1000000.0,96.36489999999999,92.30913728715237,92.32226587251299,90.50548107286419,1000000.0,9344.0,2086.0,736.0,736.0,1.0,0.0,0.0,1.0
1100000.0,12.742989,1.0412227727472783E-7,1100000.0,96.34318181818182,92.26154658777837,92.27319003438407,90.44641203098949,1100000.0,12144.0,2213.0,730.0,730.0,1.0,0.0,0.0,1.0
1200000.0,13.793254,1.1924425216391683E-7,1200000.0,96.35591666666666,92.28836855841898,92.29634979916848,90.47916603163958,1200000.0,55656.0,2383.0,764.0,764.0,5.0,0.0,0.0,1.0
1300000.0,14.886793,1.4702949191133182E-7,1300000.0,96.35453846153847,92.28262082275707,92.29246697654449,90.47342404731225,1300000.0,98216.0,2587.0,819.0,819.0,6.0,0.0,0.0,1.0
1400000.0,15.994943,1.5188469080047475E-7,1400000.0,96.364,92.3037603468486,92.31298927225284,90.49805682798169,1400000.0,16936.0,2772.0,877.0,877.0,2.0,0.0,0.0,1.0
1500000.0,17.082029,1.5539444027261602E-7,1500000.0,96.31933333333333,92.21190611413309,92.21851854461914,90.38644037103012,1500000.0,12480.0,2920.0,875.0,875.0,1.0,0.0,0.0,1.0
1600000.0,18.079661,1.5799390373544562E-7,1600000.0,96.3315,92.2385211547792,92.24465743361266,90.42084253370479,1600000.0,10072.0,3144.0,966.0,966.0,1.0,0.0,0.0,1.0
1700000.0,19.140218,1.7362622963057625E-7,1700000.0,96.33117647058823,92.23739361387729,92.24155303284745,90.41906049340992,1700000.0,56976.0,3432.0,1110.0,1110.0,4.0,0.0,0.0,1.0
1800000.0,20.260612,1.8683396538098655E-7,1800000.0,96.33155555555555,92.23840799977796,92.2414238782541,90.4215104050318,1800000.0,45568.0,3632.0,1164.0,1164.0,4.0,0.0,0.0,1.0
1900000.0,21.344239,1.9603568404292068E-7,1900000.0,96.34184210526315,92.25971833182179,92.26283970091067,90.44625822662317,1900000.0,32824.0,3868.0,1258.0,1258.0,3.0,0.0,0.0,1.0
2000000.0,22.449408,2.0639699035013717E-7,2000000.0,96.3354,92.24680662263292,92.24731746945132,90.43331501585268,2000000.0,36240.0,4067.0,1317.0,1317.0,3.0,0.0,0.0,1.0
