learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,2.068366,1.7966106745103998E-8,100000.0,96.37,92.31548351828715,92.310136638068,90.51897510904485,100000.0,33576.0,155.0,16.0,16.0,4.0,0.0,0.0,1.0
200000.0,3.221618,3.1394113794797E-8,200000.0,96.3665,92.32442678138996,92.3053302556066,90.52937496741906,200000.0,45008.0,350.0,83.0,83.0,5.0,0.0,0.0,1.0
300000.0,4.371566,3.6898912609451346E-8,300000.0,96.414,92.42904223390751,92.40592109442832,90.65610506019074,300000.0,18504.0,587.0,159.0,159.0,2.0,0.0,0.0,1.0
400000.0,5.416404,5.227575822836823E-8,400000.0,96.417,92.42667261264107,92.40519744790893,90.6511330576248,400000.0,56888.0,769.0,202.0,202.0,4.0,0.0,0.0,1.0
500000.0,6.445385,7.151229921521412E-8,500000.0,96.3228,92.23167400523621,92.20426802121715,90.4099228558463,500000.0,72264.0,960.0,269.0,269.0,5.0,0.0,0.0,1.0
600000.0,7.653344,7.514979755298959E-8,600000.0,96.19733333333333,91.957464121036,91.94051466822091,90.07093433134602,600000.0,11640.0,1214.0,372.0,372.0,1.0,0.0,0.0,1.0
700000.0,8.786241,7.875821407677399E-8,700000.0,96.25742857142858,92.08306479807722,92.06933504471178,90.22422562120087,700000.0,12312.0,1373.0,414.0,414.0,1.0,0.0,0.0,1.0
800000.0,9.968083,8.594929815373487E-8,800000.0,96.2545,92.07828102975026,92.0655432100073,90.21820033689818,800000.0,23520.0,1570.0,459.0,459.0,2.0,0.0,0.0,1.0
900000.0,11.030067,8.933184803566999E-8,900000.0,96.29933333333334,92.17257524313496,92.16572735056407,90.33788115704063,900000.0,12312.0,1742.0,502.0,502.0,1.0,0.0,0.0,1.0
1000000.0,12.136645,9.261596638502345E-8,1000000.0,96.2892,92.1524696537654,92.14359512880878,90.31046818288638,1000000.0,11472.0,1949.0,564.0,564.0,1.0,0.0,0.0,1.0
1100000.0,13.149167,9.841008284646603E-8,1100000.0,96.30663636363637,92.1901851546759,92.18221423430843,90.35814895066227,1100000.0,22120.0,2171.0,650.0,650.0,2.0,0.0,0.0,1.0
1200000.0,14.180483,1.0532772994496756E-7,1200000.0,96.32075,92.21843675530343,92.212183643663,90.3899021163503,1200000.0,25928.0,2359.0,719.0,719.0,3.0,0.0,0.0,1.0
1300000.0,15.27016,1.0819860177735488E-7,1300000.0,96.28469230769231,92.14289779884798,92.13792609497517,90.29928237304952,1300000.0,10184.0,2513.0,740.0,740.0,1.0,0.0,0.0,1.0
1400000.0,16.30687,1.1127536485592524E-7,1400000.0,96.30364285714286,92.18284181816836,92.176477880548,90.34558798837344,1400000.0,11472.0,2684.0,788.0,788.0,1.0,0.0,0.0,1.0
1500000.0,17.383642,1.1411223707099756E-7,1500000.0,96.26633333333334,92.10458268321798,92.09701180826805,90.24670158964571,1500000.0,10184.0,2853.0,820.0,820.0,1.0,0.0,0.0,1.0
1600000.0,18.409222,1.2195080031951268E-7,1600000.0,96.28225,92.1392513580938,92.1301637366243,90.28999110356592,1600000.0,29544.0,3030.0,871.0,871.0,3.0,0.0,0.0,1.0
1700000.0,19.508607,1.2673574252054094E-7,1700000.0,96.26117647058824,92.09460078540639,92.08451486519641,90.23484911336242,1700000.0,16824.0,3293.0,987.0,987.0,2.0,0.0,0.0,1.0
1800000.0,20.580924,1.352266825425128E-7,1800000.0,96.25072222222222,92.07184665929532,92.06039964470797,90.20829161987504,1800000.0,30608.0,3454.0,1011.0,1011.0,3.0,0.0,0.0,1.0
1900000.0,21.637825,1.4159629919669692E-7,1900000.0,96.25821052631579,92.08899260145512,92.07858351782914,90.23118726511993,1900000.0,23296.0,3597.0,1028.0,1028.0,2.0,0.0,0.0,1.0
2000000.0,22.743889,1.6024801948211258E-7,2000000.0,96.25775,92.08669626402408,92.07779835935432,90.22718577683068,2000000.0,65184.0,3778.0,1070.0,1070.0,4.0,0.0,0.0,1.0
