learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,0.95327,5.116106246908506E-8,100000.0,86.185,48.68666438814409,50.91839272391374,18.701818395810054,100000.0,207456.0,107.0,54.0,54.0,9.0,0.0,0.0,1.0
200000.0,1.81515,1.3895910878976186E-7,200000.0,85.3105,43.33509543011241,47.68417116298947,13.239029000059045,200000.0,393768.0,197.0,99.0,99.0,11.0,0.0,0.0,1.0
300000.0,2.468873,2.324884635499782E-7,300000.0,84.83733333333333,40.03694909276532,46.06144688318925,10.446115682954659,300000.0,553040.0,279.0,140.0,140.0,11.0,0.0,0.0,1.0
400000.0,2.914252,3.2073766318046386E-7,400000.0,84.714,38.72855894409301,45.825543791255036,10.026781247240955,400000.0,765920.0,383.0,192.0,192.0,12.0,0.0,0.0,1.0
500000.0,3.35258,4.274947884720233E-7,500000.0,84.4828,37.43804229342929,45.15417567968783,9.026312086675151,500000.0,941456.0,471.0,236.0,236.0,13.0,0.0,0.0,1.0
600000.0,3.792069,5.501910918309457E-7,600000.0,84.29716666666667,36.143303125009446,44.531576561460525,7.981326119016672,600000.0,1079160.0,541.0,271.0,271.0,13.0,0.0,0.0,1.0
700000.0,4.278732,7.062537922254867E-7,700000.0,84.16728571428571,34.87411430415619,44.039041237686,7.13872759721485,700000.0,1239576.0,627.0,314.0,314.0,14.0,0.0,0.0,1.0
800000.0,4.726971,8.71666200860507E-7,800000.0,84.0805,33.978694948576674,43.738652176794126,6.644871390768293,800000.0,1426464.0,715.0,358.0,358.0,15.0,0.0,0.0,1.0
900000.0,5.180164,1.052919457062251E-6,900000.0,84.04144444444445,33.30222490772541,43.57500638393998,6.431921824104254,900000.0,1545984.0,777.0,389.0,389.0,15.0,0.0,0.0,1.0
1000000.0,5.702661,1.2868874337234432E-6,1000000.0,84.0044,32.859207180057666,43.49142423118366,6.2578384143839845,1000000.0,1730912.0,875.0,438.0,438.0,15.0,3823.8173515981734,0.0,1.0334839554056765
1100000.0,6.119232,1.4904028029388026E-6,1100000.0,84.03154545454545,32.557680257969004,43.56113062170055,6.3902922555477595,1100000.0,1888472.0,947.0,474.0,474.0,17.0,3823.8173515981734,0.0,1.0334839554056765
1200000.0,6.575845,1.7335337418690326E-6,1200000.0,84.03366666666666,32.27148082501467,43.519159962620435,6.331552161605878,1200000.0,2058232.0,1035.0,518.0,518.0,17.0,3823.8173515981734,0.0,1.0334839554056765
1300000.0,7.008728,1.979924267416613E-6,1300000.0,84.05869230769231,32.11439215638194,43.54968756299132,6.353029426650268,1300000.0,2200168.0,1105.0,553.0,553.0,17.0,3823.8173515981734,0.0,1.0334839554056765
1400000.0,7.42885,2.2332153642488023E-6,1400000.0,84.041,31.77284094692846,43.45835663654331,6.184233731115146,1400000.0,2330488.0,1169.0,585.0,585.0,17.0,3823.8173515981734,0.0,1.0334839554056765
1500000.0,7.878798,2.526990402214643E-6,1500000.0,84.02033333333333,31.42484266703578,43.40101582773904,6.073050593080534,1500000.0,2523800.0,1267.0,634.0,634.0,17.0,3823.8173515981734,0.0,1.0334839554056765
1600000.0,8.314163,2.8274113213788305E-6,1600000.0,83.9763125,30.995429759512604,43.251235670538044,5.836139993903123,1600000.0,2667344.0,1339.0,670.0,670.0,17.0,3823.8173515981734,0.0,1.0334839554056765
1700000.0,8.769623,3.1608782131990626E-6,1700000.0,83.97441176470588,30.69358164497684,43.21857622823032,5.781388335546721,1700000.0,2830120.0,1421.0,711.0,711.0,17.0,3823.8173515981734,0.0,1.0334839554056765
1800000.0,9.205321,3.492851169632955E-6,1800000.0,83.95316666666666,30.409627738561063,43.157478362517864,5.67960657793337,1800000.0,2945232.0,1487.0,744.0,744.0,17.0,3823.8173515981734,0.0,1.0334839554056765
1900000.0,9.665262,3.8606792172727485E-6,1900000.0,83.9502105263158,30.14212754702677,43.138384657697735,5.63942928047381,1900000.0,3091328.0,1559.0,780.0,780.0,17.0,3823.8173515981734,0.0,1.0334839554056765
2000000.0,10.196988,4.308895666220536E-6,2000000.0,83.92125,29.782279333568773,43.02851099036406,5.45443319701174,2000000.0,3258384.0,1635.0,818.0,818.0,18.0,3855.3349633251833,0.0,1.03320582027762
