learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
100000.0,2.078968,2.717549992932214E-8,100000.0,95.985,91.54259526836081,91.52238175675676,89.56600831600832,100000.0,50528.0,200.0,54.0,54.0,5.0,0.0,0.0,1.0
200000.0,3.228193,4.930928709192408E-8,200000.0,96.23049999999999,92.04547451737658,92.01174027295073,90.1890868393998,200000.0,74448.0,369.0,98.0,98.0,5.0,0.0,0.0,1.0
300000.0,4.339208,5.417703856403629E-8,300000.0,96.22500000000001,92.0422407736491,92.02155764556696,90.20980834565214,300000.0,16936.0,589.0,168.0,168.0,2.0,0.0,0.0,1.0
400000.0,5.344723,7.257533282041549E-8,400000.0,96.22,92.02327234455787,92.01457656658482,90.18538713195203,400000.0,70728.0,750.0,196.0,196.0,6.0,0.0,0.0,1.0
500000.0,6.454601,8.999585558970768E-8,500000.0,96.2168,92.02046404893457,92.0105759768207,90.18747341446462,500000.0,60672.0,926.0,232.0,232.0,4.0,0.0,0.0,1.0
600000.0,7.629715,1.0380731226255495E-7,600000.0,96.17083333333333,91.91739505633264,91.91576206477947,90.05953462613468,600000.0,45432.0,1174.0,335.0,335.0,4.0,0.0,0.0,1.0
700000.0,8.676319,1.2388666645934185E-7,700000.0,96.26771428571429,92.11820305405634,92.12263198043775,90.29966843772162,700000.0,74160.0,1384.0,423.0,423.0,6.0,0.0,0.0,1.0
800000.0,9.658219,1.264309130733212E-7,800000.0,96.254625,92.08452549606555,92.08743094360351,90.24559370259203,800000.0,10016.0,1589.0,488.0,488.0,1.0,0.0,0.0,1.0
900000.0,10.644111,1.3866111697008214E-7,900000.0,96.29711111111111,92.17345888746186,92.17749109798206,90.3563346779561,900000.0,47952.0,1813.0,581.0,581.0,3.0,0.0,0.0,1.0
1000000.0,11.754671,1.4553109832521943E-7,1000000.0,96.28320000000001,92.14335805777696,92.14537646951916,90.31442673018091,1000000.0,23912.0,2030.0,645.0,645.0,2.0,0.0,0.0,1.0
1100000.0,12.853668,1.506327804695401E-7,1100000.0,96.28536363636364,92.14723613914514,92.1482910556889,90.31860625460544,1100000.0,17944.0,2216.0,694.0,694.0,2.0,0.0,0.0,1.0
1200000.0,13.8489,1.5542579042621786E-7,1200000.0,96.32625,92.23376212585737,92.2332919320314,90.42384036910084,1200000.0,18616.0,2427.0,768.0,768.0,2.0,0.0,0.0,1.0
1300000.0,14.850698,1.7203521200145287E-7,1300000.0,96.3113076923077,92.20068286201091,92.20197808559561,90.38137131601486,1300000.0,64088.0,2574.0,779.0,779.0,6.0,0.0,0.0,1.0
1400000.0,15.915458,1.7524149858082336E-7,1400000.0,96.30042857142857,92.17561589478981,92.17625111403152,90.34850049008465,1400000.0,11640.0,2774.0,844.0,844.0,1.0,0.0,0.0,1.0
1500000.0,17.024924,1.974499308379988E-7,1500000.0,96.27653333333333,92.12574295983359,92.12469190811106,90.2885340993264,1500000.0,77376.0,2957.0,887.0,887.0,4.0,0.0,0.0,1.0
1600000.0,18.085282,2.116089931275282E-7,1600000.0,96.27981249999999,92.13166621282284,92.13211355516164,90.292688734248,1600000.0,51616.0,3122.0,933.0,933.0,5.0,0.0,0.0,1.0
1700000.0,19.091836,2.2741608645973936E-7,1700000.0,96.28076470588235,92.13427739779667,92.13373410933919,90.2966841722401,1700000.0,60704.0,3356.0,1033.0,1033.0,6.0,0.0,0.0,1.0
1800000.0,20.098648,2.3071042228697077E-7,1800000.0,96.28227777777778,92.13645215078307,92.134459036163,90.2979805521767,1800000.0,12648.0,3590.0,1136.0,1136.0,1.0,0.0,0.0,1.0
1900000.0,21.174052,2.3754988244631225E-7,1900000.0,96.28884210526316,92.14954814891546,92.14986857442496,90.3144187579841,1900000.0,24584.0,3806.0,1218.0,1218.0,3.0,0.0,0.0,1.0
2000000.0,22.249423,2.426353646773431E-7,2000000.0,96.2961,92.16514703316525,92.16585816732392,90.3344541389564,2000000.0,18280.0,4014.0,1287.0,1287.0,2.0,0.0,0.0,1.0
